3M France,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DEVISMES CHARLOTTE,19/11/2013,REPAS,€13,,
AbbVie,Médecin,CASTELA JEAN,11/03/2014,REPAS,€43,,
AbbVie,Médecin,CASTELA JEAN,17/12/2013,REPAS,€47,,
AbbVie,Médecin,COHEN ANDRE,11/03/2014,REPAS,€43,,
AbbVie,Médecin,COHEN HENRI LUC,05/09/2013,Repas,€19,,
AbbVie,Médecin,COSCHIERI MARC,13/03/2014,REPAS,€37,,
AbbVie,Médecin,FIS ISABELLE,11/03/2014,REPAS,€43,,
AbbVie,Médecin,FIS ISABELLE,17/12/2013,REPAS,€47,,
AbbVie,Médecin,FLORY PHILIPPE,17/12/2013,REPAS,€47,,
AbbVie,Médecin,FRANCO MICHEL,17/12/2013,REPAS,€47,,
AbbVie,Médecin,FRANCO MICHEL,11/03/2014,REPAS,€43,,
AbbVie,Médecin,GHIO DOMINIQUE,20/12/2013,REPAS,€24,,
AbbVie,Médecin,GHIO DOMINIQUE,20/12/2013,Repas,€24,,
AbbVie,Médecin,GRISOT CHRISTIAN,11/03/2014,REPAS,€43,,
AbbVie,Médecin,GRISOT CHRISTIAN,17/12/2013,REPAS,€47,,
AbbVie,Médecin,GRISOT CHRISTIAN,06/11/2013,Repas,€27,,
AbbVie,Médecin,JAILLET JEAN CLAUDE,13/03/2014,REPAS,€37,,
AbbVie,Médecin,LABORDE FYRIEL,23/01/2014,REPAS,€26,,
AbbVie,Médecin,LELOIRE PHILIPPE,11/03/2014,REPAS,€43,,
AbbVie,Médecin,MONTAUDIE HENRI,02/10/2013,HOSPITALITE,€225,,
AbbVie,Médecin,MONTAUDIE HENRI,02/10/2013,HOSPITALITE,€200,,
AbbVie,Médecin,MONTAUDIE HENRI,02/10/2013,AUTRE: [INSCRIPTION],"€1,030",,
AbbVie,Médecin,MONTAUDIE HENRI,01/10/2013,HÉBERGEMENT,€215,,
AbbVie,Médecin,MONTAUDIE HENRI,02/10/2013,HOSPITALITE,€225,,
AbbVie,Médecin,MONTAUDIE HENRI,02/10/2013,TRANSPORT,€581,,
AbbVie,Médecin,MONTAUDIE HENRI,03/10/2013,HÉBERGEMENT,€215,,
AbbVie,Médecin,PAJUS ISABELLE,17/12/2013,REPAS,€47,,
AbbVie,Médecin,PAJUS ISABELLE,11/03/2014,REPAS,€43,,
AbbVie,Médecin,PAUWELS HENRI,04/10/2013,HÉBERGEMENT,€215,,
AbbVie,Médecin,STEF ADRIAN,13/03/2014,REPAS,€37,,
AbbVie,Médecin,VIANI JEAN LOUIS,17/12/2013,REPAS,€47,,
AbbVie,Médecin,ZIEGLER GERARD,17/12/2013,REPAS,€47,,
ADVANCED BIONICS SARL,Audioprothésiste,DOUILLY Audrey,06/03/2013,REPAS,€17,,
AFFINITES SANTE,Médecin,MAHAGNE MARIE-HELENE,22/05/2014,TRANSPORT,€543,,
Alexion Pharma France,Médecin,SEITZ POLSKI BARBARA,13/12/2013,REPAS,€25,,
ALK-Abelló,Médecin,ARFI THIERRY,20/11/2012,AUTRE : [RESTAURATION],€60,,
ALK-Abelló,Médecin,LIMOUSE LUC,12/06/2012,AUTRE : [RESTAURATION],€56,,
ALK-Abelló,Médecin,LIMOUSE LUC,09/01/2012,AUTRE : [RESTAURATION],€29,,
ALK-Abelló,Médecin,LOUIS STEPHAN,22/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,LUSTGARTEN GRILLOT VERONIQUE,22/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,NAVARRO ROUIMI RUTH,22/05/2014,Autre : [Restauration],€60,,
ALK-Abelló,Médecin,PONSAILLE JULIETTE,22/05/2014,Autre : [Restauration],€60,,
ALLERGAN FRANCE,Etudiant,PINON FABIEN,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BAILLIF GOSTOLI STEPHANIE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,BAILLIF GOSTOLI STEPHANIE,21/09/2013,AUTRE,€375,,
ALLERGAN FRANCE,Médecin,BAUERSACH EVA,23/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BAUERSACH EVA,04/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BAUERSACHS EVA,27/09/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BENHAMOU NATHANAEL,27/09/2013,REPAS,€53,,
ALLERGAN FRANCE,Médecin,BOURGEON YVELINE,19/12/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,BRACCINI FREDERIC,13/12/2013,REPAS,€12,,
ALLERGAN FRANCE,Médecin,BRACCINI FREDERIC,11/04/2014,HOSPITALITE,€59,,
ALLERGAN FRANCE,Médecin,BRACCINI FREDERIC,04/09/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,BRACCINI FREDERIC,05/07/2013,REPAS,€19,,
ALLERGAN FRANCE,Médecin,CABROL SABATIER CLAIRE,13/12/2013,REPAS,€12,,
ALLERGAN FRANCE,Médecin,CABROL SABATIER CLAIRE,05/07/2013,REPAS,€19,,
ALLERGAN FRANCE,Médecin,CARBONEL JEAN CLAUDE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,CARBONEL JEAN CLAUDE,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CLAVE MICHELINE,10/04/2014,HOSPITALITE,€60,,
ALLERGAN FRANCE,Médecin,CLAVE BASSALER MICHELINE,28/06/2013,REPAS,€17,,
ALLERGAN FRANCE,Médecin,CLAVE BASSALER MICHELINE,28/06/2013,REPAS,€17,,
ALLERGAN FRANCE,Médecin,CLAVE BASSALER MICHELINE,25/10/2013,REPAS,€16,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,16/09/2013,REPAS,€20,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,REPAS,€40,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,27/06/2014,TRANSPORT,"€5,619",,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,20/11/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,09/10/2013,REPAS,€32,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,19/12/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,TRANSPORT,€45,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,25/09/2013,REPAS,€23,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,REPAS,€20,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,TRANSPORT,€501,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,07/02/2014,HEBERGEMENT,€181,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,05/07/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,CORNIL CHRISTOPHE,05/07/2013,TRANSPORT,€196,,
ALLERGAN FRANCE,Médecin,COSTET FIGHIERA CHRISTINE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,COUTURIER PIERRE ANDRE,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,COUTURIER PIERRE ANDRE,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,DELAS JEROME,21/09/2013,AUTRE,€590,,
ALLERGAN FRANCE,Médecin,DELAS JEROME,21/09/2013,HOSPITALITE,€70,,
ALLERGAN FRANCE,Médecin,FEYS VEDRINE NATHALIE,26/07/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,FOUQUE LYNDA,12/07/2013,REPAS,€47,,
ALLERGAN FRANCE,Médecin,FOUQUE PARACHINI LINDA,17/12/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,FOUQUE PARACHINI LINDA,18/07/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,FOUQUE PARACHINI LINDA,08/07/2013,REPAS,€38,,
ALLERGAN FRANCE,Médecin,FOUQUE PARACHINI LINDA,18/10/2013,REPAS,€25,,
ALLERGAN FRANCE,Médecin,FRANCESCHETTI CLEMENT,29/09/2013,TRANSPORT,€494,,
ALLERGAN FRANCE,Médecin,FRANCESCHETTI CLEMENT,29/09/2013,AUTRE,€476,,
ALLERGAN FRANCE,Médecin,FRANCESCHETTI CLEMENT,29/09/2013,HEBERGEMENT,€840,,
ALLERGAN FRANCE,Médecin,FRETON AURELIEN,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,GENZONE CHRISTINE,26/08/2013,REPAS,€29,,
ALLERGAN FRANCE,Médecin,GHENASSIA CHARLES,12/07/2013,REPAS,€33,,
ALLERGAN FRANCE,Médecin,GHENASSIA CHARLES,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,GRAMFORT CHRISTINE,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,HEBERT PIERRE YVES,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,HEBERT PIERRE YVES,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,IONICA VIRGIL,12/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,LAGIER JACQUES,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,LOZIVIT LOIC,10/10/2013,REPAS,€55,,
ALLERGAN FRANCE,Médecin,MOREL MANDRINO PATRICIA,16/09/2013,REPAS,€24,,
ALLERGAN FRANCE,Médecin,RECCHI TARDIEUX VALERIE,01/10/2013,REPAS,€28,,
