ABBOTT FRANCE,Médecin,MEYER PIERRE,30/01/2014,REPAS,€65,,
Actelion Pharmaceuticals France,Médecin,BOYER GUY RENE,05/12/2013,HEBERGEMENT,€295,,
Actelion Pharmaceuticals France,Médecin,BOYER GUY RENE,05/12/2013,REPAS,€56,,
Actelion Pharmaceuticals France,Médecin,BOYER GUY RENE,05/12/2013,REPAS,€56,,
Actelion Pharmaceuticals France,Médecin,BOYER GUY RENE,05/12/2013,TRANSPORT,€209,,
ALK-Abelló,Médecin,POIRIER JEAN PAUL,22/05/2014,Autre : [Restauration],€60,,
ALLERGAN FRANCE,Médecin,HEBERT CHARLES,10/10/2013,REPAS,€55,,
APTALIS PHARMA SAS,Médecin,AZANCOT MONIQUE,10/10/2013,FRAIS D'HOSPITALITÉ,€55,,
APTALIS PHARMA SAS,Médecin,BOYER GUY RENE,28/11/2013,FRAIS D'HOSPITALITÉ,€21,,
ASTRAZENECA,Médecin,BOYER GUY RENE,06/12/2013,Repas,€60,,
ASTRAZENECA,Médecin,BOYER GUY RENE,06/12/2013,Hébergement,€185,,
ASTRAZENECA,Médecin,BOYER GUY RENE,07/12/2013,Repas,€43,,
Bayer HealthCare SAS,Médecin,GULINO ALDO,05/12/2013,Hospitalité,€44,,
Bayer HealthCare SAS,Médecin,HOLTERBACH RAPHAEL,03/10/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,OLLIVIER JEAN FRANCOIS,05/12/2013,Hospitalité,€44,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,09/10/2013,Hôtel,€189,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,10/10/2013,Hôtel,€189,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,08/10/2013,Avion,€240,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,11/10/2013,Parking,€48,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,10/10/2013,Repas,€30,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,10/10/2013,Repas,€30,,
B. Braun Avitum France SAS,Médecin,ISLAM Mohammed,11/10/2013,Taxi,€46,,
BIOCODEX,Médecin,AUDIBERT STEPHANIE,24/06/2014,REPAS,€20,,
BIOCODEX,Médecin,DONADEY JEAN CHRISTOPHE,24/06/2014,REPAS,€20,,
BIOCODEX,Médecin,FORTIER ARLETTE,15/04/2014,REPAS,€31,,
BIOCODEX,Médecin,PIERRILLAS JEAN CLAUDE,15/04/2014,REPAS,€31,,
BIOCODEX,Médecin,PIGLIONE LAURENT,24/06/2014,REPAS,€20,,
BIOCODEX,Médecin,SIGAL FOLACCI MARTINE,15/04/2014,REPAS,€31,,
BIOMET 3i,Chirurgien-dentiste,MIZRAHI DANIEL,12/12/2013,REPAS,€26,,
BIOTRONIK FRANCE SAS,Pharmacien,GANDOIN MARIE,22/09/2013,HEBERGEMENT,€122,,
BIOTRONIK FRANCE SAS,Pharmacien,GANDOIN MARIE,22/09/2013,REPAS,€88,,
BIOTRONIK FRANCE SAS,Pharmacien,GANDOIN MARIE,23/09/2013,TRANSPORT,€422,,
BOEHRINGER INGELHEIM FRANCE,Médecin,AMSALLEM LUC,28/05/2013,HOSPITALITE,€71,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CASTELNAU OLIVIER,14/05/2014,HOSPITALITE,€80,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CASTELNAU OLIVIER,23/05/2014,HOSPITALITE,€143,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHOUANA FOUZIA,17/04/2014,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GALLUCIO OLIVIA,17/04/2014,[REPAS],€25,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TURCO CECILE,17/04/2014,[REPAS],€25,,
BRACCO IMAGING FRANCE,Médecin,CARAMELLA THOMAS,10/06/2014,REPAS,€39,,
BRACCO IMAGING FRANCE,Médecin,NOVELLAS SEBASTIEN,10/06/2014,REPAS,€39,,
BRACCO IMAGING FRANCE,Médecin,PAUL FLORENCE,10/06/2014,REPAS,€39,,
BRISTOL-MYERS SQUIBB,Médecin,AUDIBERT STEPHANIE,09/01/2014,Repas,€31,,
BRISTOL-MYERS SQUIBB,Médecin,AUDIBERT STEPHANIE,08/11/2013,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,DONADEY JEAN CHRISTOPHE,08/11/2013,Repas,€27,,
BRISTOL-MYERS SQUIBB,Médecin,DONADEY JEAN CHRISTOPHE,21/10/2013,Repas,€48,,
BRISTOL-MYERS SQUIBB,Médecin,LEVY RICHARD,17/10/2013,Hospitalité,€478,,
BRISTOL-MYERS SQUIBB,Médecin,OUZAN DENIS,04/04/2014,Repas,€36,,
BRISTOL-MYERS SQUIBB,Médecin,ZERMATI HERVE,21/10/2013,Repas,€48,,
BSN-RADIANTE SAS,Pharmacien,BELAVIC Christophe,18/03/2014,Repas,€16,,
BSN-RADIANTE SAS,Pharmacien,COHEN-SOLAL Natacha,18/03/2014,Repas,€16,,
BSN-RADIANTE SAS,Pharmacien,DAOUK WINDY,18/03/2014,Repas,€16,,
BSN-RADIANTE SAS,Pharmacien,LEBRETON-SEAM SYLVANIA,18/03/2014,Repas,€16,,
