ASTELLAS PHARMA,Médecin,MARTIN NOEL,06/02/2013,REPAS,€16,,
ASTRAZENECA,Médecin,LONCEINT ETIENNE,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,LONCEINT ETIENNE,05/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN NOEL,09/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MARTIN NOEL,05/03/2014,Repas,€57,,
BOIRON,Pharmacien,DELAGE SABINE,03/04/2014,[REPAS],€20,,
BRISTOL-MYERS SQUIBB,Médecin,LONCEINT ETIENNE,14/05/2014,Repas,€46,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN NOEL,17/10/2013,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,MARTIN NOEL,14/05/2014,Repas,€46,,
ICOMED,Médecin,JAMOT EVELYNE,10/12/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,PETIT PHILIPPE,24/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,PETIT PHILIPPE,18/03/2014,Autre: [Enquête],€25,,
MENARINI FRANCE,Médecin,MARTIN NOEL,12/02/2014,Autre : [Restauration],€50,,
SANOFI AVENTIS FRANCE,Médecin,MARTIN NOEL,11/12/2013,Restauration,€19,,
SANOFI PASTEUR MSD SNC,Médecin,MARTIN NOEL,18/09/2013,Repas,€11,,
