3M France,Pharmacien,PERRIN LACOUR JEANNE,19/09/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,21/09/2013,HOSPITALITE,€70,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,03/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,21/09/2013,AUTRE,€590,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,12/04/2014,HOSPITALITE,€299,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,21/09/2013,HEBERGEMENT,€433,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,20/09/2013,REPAS,€56,,
ALLERGAN FRANCE,Médecin,CARNEAU FREDERIC,17/10/2013,TRANSPORT,€298,,
AMO FRANCE SAS,Opticien-lunetier,BACHEROT STEPHANE,05/12/2013,REPAS DE TRAVAIL,€44,,
AMO FRANCE SAS,Opticien-lunetier,BODOY GUILLAUME,05/12/2013,REPAS DE TRAVAIL,€44,,
AMO FRANCE SAS,Opticien-lunetier,COZZO LAURE,05/12/2013,REPAS DE TRAVAIL,€44,,
AMO FRANCE SAS,Opticien-lunetier,GUILBAULT DIDIER,05/12/2013,REPAS DE TRAVAIL,€44,,
ANTHOGYR,Médecin,AMIACH André,28/11/2013,Repas ou Hébèrgement,€46,,
ANTHOGYR,Médecin,BOURLET Gilles,28/06/2013,Repas ou Hébèrgement,€268,,
ARCHIMEDES PHARMA France,Médecin,MASCARO JEAN_MARC,05/06/2014,Repas,€15,,
ASTELLAS PHARMA,Médecin,BEAUCHARD SANDRI,23/08/2013,TRANSPORT,€104,,
ASTELLAS PHARMA,Médecin,CARTIER JEAN CHARLES,14/02/2013,REPAS,€40,,
ASTELLAS PHARMA,Médecin,CARTIER JEAN CHARLES,03/04/2014,REPAS,€49,,
ASTELLAS PHARMA,Médecin,MENUDET JEAN LOUP,03/04/2014,REPAS,€49,,
ASTELLAS PHARMA,Médecin,TOURNIER MICHEL,14/02/2013,REPAS,€40,,
