ABBOTT PRODUCTS SAS,Médecin,MAUBOUSSIN Philippe,03/12/2013,REPAS,€22,,
AbbVie,Médecin,GUILLAN JACQUES,22/05/2014,REPAS,€40,,
AbbVie,Médecin,GUILLAN JACQUES,17/02/2014,REPAS,€43,,
BAYER SANTE FAMILIALE,Pharmacien,RODRIGUES NUNO,02/07/2013,REPAS,€20,,
BAYER SANTE FAMILIALE,Pharmacien,RODRIGUES NUNO,15/10/2013,REPAS,€15,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,RODRIGUES FERREIRA NUNO,26/11/2013,HOSPITALITE,€16,,
BOIRON,Pharmacien,ALLIER MARWAN,03/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,ALLIER MARWAN,03/04/2014,[REPAS],€20,,
BOIRON,Pharmacien,ALLIER MARWAN,03/04/2014,[AUTRE],€15,,
BOIRON,Pharmacien,ALLIER MARWAN,03/04/2014,[AUTRE],€15,,
BRISTOL-MYERS SQUIBB,Pharmacien,ALLIER MARWAN,12/02/2014,Repas,€14,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BECKER BOULANGER BARBARA,02/12/2013,Repas,€69,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BECKER BOULANGER BARBARA,02/12/2013,Transport,€46,,
BRISTOL-MYERS SQUIBB,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BECKER BOULANGER BARBARA,02/12/2013,Hébergement,€187,,
COOPERVISION SAS,Opticien-lunetier,ROYAL CORINNE,29/04/2014,REPAS,€14,,
DJO France SAS,Pharmacien,JACQUOT DAMIEN,26/02/2013,Repas,€15,,
DJO France SAS,Pharmacien,RODRIGUES NUNO,26/02/2013,Repas,€15,,
DJO France SAS,Pharmacien,RODRIGUES NUNO,17/04/2014,Repas,€18,,
DJO France SAS,Pharmacien,RODRIGUES NUNO,18/10/2013,Repas,€23,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BEHOTTE SANDRINE,26/02/2013,Repas,€15,,
DJO France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BELKACEM MURIEL,26/02/2013,Repas,€15,,
GEISTLICH PHARMA FRANCE,Chirurgien-dentiste,DESSEAUX ODILE,15/05/2014,REPAS,€35,,
ICOMED,Médecin,BEAUJOUR OLIVIA,29/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BEAUJOUR OLIVIA,11/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BOITEUX JEAN PAUL,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOITEUX JEAN PAUL,11/01/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,MAMODALY LOUTFALY,29/11/2013,Autre: [Enquête],€29,,
LABCATAL,Médecin,BEAUJOUR OLIVIA,21/05/2014,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEAUJOUR OLIVIA,27/09/2012,Hospitalité,€33,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOITEUX JEAN PAUL,17/10/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOITEUX JEAN PAUL,21/11/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BUSUIOC MARIANA,21/11/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIRARD ANNE,17/10/2013,REPAS,€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAMODALY LOUTFALY,18/10/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAMODALY LOUTFALY,21/11/2013,REPAS,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAUBOUSSIN PHILIPPE,18/10/2012,Hospitalité,€18,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOPPE PASCAL,27/06/2013,Hospitalite,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOPPE PASCAL,24/04/2013,Hospitalite,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOPPE PASCAL,26/09/2013,REPAS,€66,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,NOPPE PASCAL,17/10/2013,REPAS,€31,,
LABORATOIRES ALCON,Médecin,DOLIER ELISABETH,05/12/2013,REPAS,€30,,
Laboratoires BESINS INTERNATIONAL,Médecin,ARGENTIN Raymond,24/01/2014,Repas,€25,,
Laboratoires Leurquin Mediolanum,Médecin,NOPPE PASCAL,05/12/2013,AUTRE,€15,,
LES LABORATOIRES SERVIER,Médecin,MAMODALY LOUTFALY,05/09/2013,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,NOPPE PASCAL,03/12/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,NOPPE PASCAL,05/09/2013,Repas,€58,,
LES LABORATOIRES SERVIER,Médecin,NOPPE PASCAL,16/01/2014,Repas,€55,,
MENARINI FRANCE,Médecin,BUSUIOC MARIANA,10/12/2013,REPAS,€53,,
MENARINI FRANCE,Médecin,NOPPE PASCAL,27/02/2014,Autre : [Restauration],€58,,
MENARINI FRANCE,Médecin,NOPPE PASCAL,10/12/2013,REPAS,€53,,
MSD France,Médecin,GIRARD ANNE,22/11/2012,REPAS,€52,,
MSD France,Médecin,NOPPE PASCAL,28/11/2013,REPAS,€55,,
MSD France,Médecin,NOPPE PASCAL,19/11/2013,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,02/07/2013,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,24/09/2013,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,05/06/2014,REPAS,€60,,
MSD France,Médecin,NOPPE PASCAL,20/03/2014,REPAS,€58,,
MSD France,Médecin,NOPPE PASCAL,09/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,NOPPE PASCAL,14/05/2013,HOSPITALITÉ,€60,,
