ALK-Abelló,Médecin,MENAGER VANESSA,14/02/2013,AUTRE : [RESTAURATION],€48,,
Bayer HealthCare SAS,Médecin,MENAGER VANESSA,30/01/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,SOLINAS GERARD,19/06/2014,Hospitalité,€29,,
CHIESI SA,Médecin,MENAGER VANESSA,14/02/2014,Repas,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,AMIEL FLORENCE,24/04/2014,REPAS,€21,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,AMIEL FLORENCE,20/01/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,AMIEL FLORENCE,08/04/2014,REPAS,€21,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DUMAS LAURENCE,24/04/2014,REPAS,€21,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DUMAS LAURENCE,20/01/2014,REPAS,€18,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DUMAS LAURENCE,08/04/2014,REPAS,€21,,
ICOMED,Médecin,DAMEME CAROLINE,31/03/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,MENAGER VANESSA,07/04/2014,Autre: [Enquête],€27,,
ICOMED,Médecin,SOLINAS GERARD,05/12/2013,Autre: [Enquête],€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DAMEME CAROLINE,29/05/2012,Hospitalité,€28,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MENAGER VANESSA,29/06/2012,Hospitalité,€49,,
LABORATOIRES ALCON,Médecin,LAOUAR KARIM,09/05/2014,REPAS,€60,,
MENARINI FRANCE,Médecin,MENAGER VANESSA,19/11/2013,REPAS,€58,,
NOVARTIS PHARMA SAS,Médecin,MENAGER VANESSA,10/12/2013,Autre : [Hospitalité Evenement Scientifique],€54,,
NOVARTIS PHARMA SAS,Médecin,MENAGER VANESSA,24/06/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,MENAGER VANESSA,05/07/2013,Repas,€32,,
NOVARTIS PHARMA SAS,Médecin,MENAGER VANESSA,03/02/2014,Repas,€24,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,ALBERGE REMI,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BRUNEL JEAN LOUIS,04/09/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BRUNEL JEAN LOUIS,21/11/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MENAGER VANESSA,24/10/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,MENAGER VANESSA,17/05/2013,Restauration,€19,,
PIERRE FABRE MEDICAMENT,Pharmacien,ALBERGE REMI,14/06/2013,Restauration,€18,,
RESEARCH NOW SAS,Médecin,Koutsandreou Alexandre,03/11/2013,enquête,€19,,
RESEARCH NOW SAS,Médecin,MENAGER Vanessa,07/02/2013,enquête,€17,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,SOULIE AMANDINE,24/06/2014,REPAS,€41,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELBREIL CAROLINE,24/06/2014,REPAS,€41,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,IBARZ MARYLINE,24/06/2014,REPAS,€41,,
SANOFI AVENTIS FRANCE,Médecin,COLETTE LAOUAR SOPHIE,01/04/2014,Repas,€39,,
SANOFI AVENTIS FRANCE,Médecin,MENAGER VANESSA,01/04/2014,Repas,€39,,
TEVA SANTE SAS,Médecin,MENAGER VANESSA,03/03/2014,REPAS,€21,,
TEVA SANTE SAS,Médecin,MENAGER VANESSA,13/06/2014,REPAS,€20,,
THERABEL LUCIEN PHARMA,Médecin,COLETTE LAOUAR SOPHIE,27/06/2014,REPAS,€37,,
THERABEL LUCIEN PHARMA,Médecin,MENAGER VANESSA,27/06/2014,REPAS,€37,,
