AbbVie,Médecin,VIE VALERIE,10/06/2014,REPAS,€50,,
GIBAUD,Médecin,SALMON CORINNE,18/10/2013,Repas,€13,,
ICOMED,Chirurgien-dentiste,AUBAILLY MURIEL,26/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,LANGEOIS CHRISTINE,25/09/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LANGEOIS CHRISTINE,22/03/2013,Hospitalite,€20,,
PIERRE FABRE MEDICAMENT,Médecin,BELTRAN CAROLE,09/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,BELTRAN CAROLE,11/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,BELTRAN CAROLE,10/06/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,BELTRAN CAROLE,21/01/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BELTRAN CAROLE,05/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,GARY BOBO ALEXANDRE,10/06/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,GARY BOBO ALEXANDRE,21/01/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,GARY BOBO ALEXANDRE,05/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,GARY BOBO ALEXANDRE,11/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,GARY BOBO ALEXANDRE,09/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,HEYER JEAN,21/01/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,HEYER JEAN,09/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,HEYER JEAN,11/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,HEYER JEAN,05/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,HEYER JEAN,10/06/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,SALMON CORINNE,05/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,SALMON CORINNE,09/04/2013,Restauration,€42,,
PIERRE FABRE MEDICAMENT,Médecin,SALMON CORINNE,11/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,SALMON CORINNE,10/06/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,SALMON CORINNE,21/01/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,VIE VALERIE,10/06/2014,RESTAURATION,€56,,
PIERRE FABRE MEDICAMENT,Médecin,VIE VALERIE,05/06/2012,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VIE VALERIE,11/06/2013,Restauration,€45,,
PIERRE FABRE MEDICAMENT,Médecin,VIE VALERIE,21/01/2014,RESTAURATION,€50,,
PIERRE FABRE MEDICAMENT,Médecin,VIE VALERIE,09/04/2013,Restauration,€42,,
