3S ORTHO,Médecin,AKHARAS CHAOUKI,20/10/2013,REPAS,€64,,
ABBOTT PRODUCTS SAS,Médecin,BORDAT MARIE HELENE,06/02/2014,REPAS,€23,,
ABBOTT PRODUCTS SAS,Médecin,CHARPENTIER Michel,03/12/2013,REPAS,€58,,
ABBOTT PRODUCTS SAS,Médecin,CHARPENTIER MICHEL,04/03/2014,REPAS,€19,,
ABBOTT PRODUCTS SAS,Médecin,CHARPENTIER Philippe,03/12/2013,REPAS,€58,,
ABBOTT PRODUCTS SAS,Médecin,DIGUET FRANCOIS,06/02/2014,REPAS,€23,,
ABBOTT PRODUCTS SAS,Médecin,DUJARDIN Jean louis,03/12/2013,REPAS,€58,,
ABBOTT PRODUCTS SAS,Médecin,FAUQUEZ CAMILLE,04/03/2014,REPAS,€19,,
ABBOTT PRODUCTS SAS,Médecin,KELLER Thierry,03/12/2013,REPAS,€58,,
ABBOTT PRODUCTS SAS,Médecin,RIPOLL JEAN MICHEL,06/02/2014,REPAS,€23,,
AbbVie,Médecin,DUJARDIN JEAN LOUIS,26/06/2014,INSCRIPTION,€420,,
Alexion Pharma France,Médecin,BRILLET GEORGES,17/12/2013,TRANSPORT,€337,,
Alexion Pharma France,Médecin,BRILLET GEORGES,17/12/2013,REPAS,€70,,
ALFA WASSERMANN PHARMA,Médecin,PHILIPPE LAURENCE,04/10/2013,REPAS,€25,,
ALFA WASSERMANN PHARMA,Médecin,TATARENKO JEAN MICHEL,28/03/2014,REPAS,€14,,
ALFA WASSERMANN PHARMA,Médecin,TATARENKO JEAN MICHEL,04/10/2013,REPAS,€25,,
ALFA WASSERMANN PHARMA,Médecin,TERRACHER CELINE,28/03/2014,REPAS,€14,,
ALK-Abelló,Médecin,CHAUVIN VERON ODILE,18/10/2013,HEBERGEMENT,€170,,
ALK-Abelló,Médecin,CHAUVIN VERON ODILE,21/11/2012,AUTRE : [RESTAURATION],€24,,
ALK-Abelló,Médecin,CHAUVIN VERON ODILE,18/10/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,COTTE LAURENT,27/01/2012,AUTRE : [INSCRIPTION],€180,,
ALK-Abelló,Médecin,COTTE LAURENT,18/10/2013,AUTRE : [RESTAURATION],€130,,
ALK-Abelló,Médecin,COTTE LAURENT,27/01/2012,HEBERGEMENT,€460,,
ALK-Abelló,Médecin,COTTE LAURENT,27/01/2012,TRANSPORT,€233,,
ALK-Abelló,Médecin,COTTE LAURENT,18/10/2013,HEBERGEMENT,€170,,
ALK-Abelló,Médecin,MEININGER CATHERINE,24/04/2012,TRANSPORT,€127,,
ALLERGAN FRANCE,Médecin,BENKO ANDRE,08/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,BENKO ANDRE,18/12/2013,REPAS,€22,,
ALLERGAN FRANCE,Médecin,BENKO ANDRE,20/06/2014,REPAS,€52,,
ALLERGAN FRANCE,Médecin,BENKO ANDRE,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,COTINEAU JEAN,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,PANCHUQUET-OLSINA ANNE,08/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,RAYNAUD SYLVIE,24/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,RAYNAUD SYLVIE,18/12/2013,REPAS,€22,,
ALLERGAN FRANCE,Médecin,RAYNAUD SYLVIE,22/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,RAYNAUD SYLVIE,07/12/2013,REPAS,€34,,
ALLERGAN FRANCE,Médecin,RAYNAUD SYLVIE,06/11/2013,REPAS,€18,,
ALLERGAN FRANCE,Médecin,ROY XAVIER,28/11/2013,REPAS,€35,,
ALLERGAN FRANCE,Médecin,ROY XAVIER,17/10/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,SECARDIN FREDERIC,20/08/2013,REPAS,€33,,
alliance healthcare repartition,Pharmacien,QUATRESOUS MICHEL,10/06/2014,Repas,€28,,
ALMIRALL SAS,Médecin,PHILIPPE LAURENCE,22/11/2013,REPAS,€16,,
ALMIRALL SAS,Médecin,TATARENKO JEAN MICHEL,22/11/2013,REPAS,€16,,
American Medical Systems France,Médecin,GERBAUD Pierre François,18/12/2013,HEBERGEMENT,€122,,
American Medical Systems France,Médecin,GERBAUD Pierre François,18/12/2013,HEBERGEMENT,€122,,
American Medical Systems France,Médecin,GERBAUD Pierre François,18/12/2013,REPAS,€19,,
American Orthodontics,Chirurgien-dentiste,CLARISSE BEATRICE,06/02/2014,REPAS,€20,,
AMGEN SAS,Infirmier,DIAZ MARIA,14/10/2013,REPAS IMPROMPTU,€27,,
AMGEN SAS,Médecin,AMMAR NAJI,09/10/2013,REPAS REUNION,€50,,
