ARAIR Assistance,Masseur-kinésithérapeute,Riocreux Patrick,01/02/2013,Transport et Inscription,€152,,
ARROW GENERIQUES SAS,Pharmacien,JEAN VALERY,09/12/2013,CADEAUX,€25,,
ASTRAZENECA,Infirmier,BRETON MURIELLE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BALVA SERGE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BALVA SERGE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BALVA SERGE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BIZOUARNE DOMINIQUE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOURGEOIS PAULINE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOURGEOIS PAULINE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOURGEOIS PAULINE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,COUVAL DOMINIQUE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,COUVAL DOMINIQUE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,COUVAL DOMINIQUE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,COUVAL DOMINIQUE,10/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,DASSONVILLE LISE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DASSONVILLE LISE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAVREL PETIT SANDRINE,10/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,GAVREL PETIT SANDRINE,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAVREL PETIT SANDRINE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,GAVREL PETIT SANDRINE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,09/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUMBERT ROMAIN,13/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LACLAVETINE BERNARD,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LACLAVETINE BERNARD,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAFONTAINE PATRICE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAFONTAINE PATRICE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LAFONTAINE PATRICE,10/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LE SAMEDY THOMAS,10/04/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,BALVA SERGE,12/12/2013,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,BOURGEOIS PAULINE,12/12/2013,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,BOURGEOIS PAULINE,04/10/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,COUVAL DOMINIQUE,04/10/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,COUVAL DOMINIQUE,12/12/2013,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,GAVREL PETIT SANDRINE,12/12/2013,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,GAVREL PETIT SANDRINE,04/10/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,HUMBERT ROMAIN,03/07/2013,Hospitalité,€54,,
Bayer HealthCare SAS,Médecin,HUMBERT ROMAIN,04/10/2013,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,LAFONTAINE PATRICE,12/12/2013,Hospitalité,€43,,
Bayer HealthCare SAS,Médecin,LIMA LUIS,12/12/2013,Hospitalité,€43,,
BIOGARAN,Pharmacien,CANTIN JULIE,24/09/2013,REPAS,€22,,
BIOGARAN,Pharmacien,SAVOIE ELISABETH,24/09/2013,REPAS,€22,,
BOEHRINGER INGELHEIM FRANCE,Masseur-kinésithérapeute,RIOCREUX PATRICK,14/05/2014,HOSPITALITE,€60,,
BOIRON,Médecin,BOURGEOIS PAULINE,20/05/2014,[REPAS],€43,,
BOIRON,Médecin,DASSONVILLE LISE,28/06/2014,[REPAS],€38,,
