ASTRAZENECA,Médecin,IDBRIK FATIMA,12/03/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,ALLEAU ETIENNE,14/04/2014,Hospitalité,€30,,
Bayer HealthCare SAS,Médecin,LAMBERT ELODIE,14/04/2014,Hospitalité,€30,,
BIOCODEX,Pharmacien,BUNCZUK ELODIE,20/06/2014,REPAS,€15,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,NIVET AURORE,20/06/2014,REPAS,€15,,
BIOCODEX,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RENARD NATHALIE,20/06/2014,REPAS,€15,,
CONGRES COLLOQUES CONVENTIONS,Médecin,LAMBERT ELODIE,23/11/2013,REPAS,€30,,
ICOMED,Chirurgien-dentiste,DECHAMBRE MARIE DOMINIQUE,11/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,DECHAMBRE MARIE DOMINIQUE,07/05/2014,Autre: [Enquête],€11,,
ICOMED,Médecin,ALLEAU ETIENNE,28/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ESTEVE HENRI,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ESTEVE HENRI,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAMBERT ELODIE,30/04/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PRODIGUE NICOLE,13/12/2013,Autre: [Enquête],€30,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DOS SANTOS MÉLANIE,12/06/2014,REPAS,€45,,
LABORATOIRES CONVATEC,Infirmier,BARREAU BLANDINE,17/02/2014,REPAS,€31,,
LABORATOIRES CONVATEC,Infirmier,DUPONT MATHILDE,17/02/2014,REPAS,€31,,
LABORATOIRES CONVATEC,Infirmier,FAICHAUD JEROME,17/02/2014,REPAS,€31,,
LES LABORATOIRES SERVIER,Médecin,LAMBERT ELODIE,19/09/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,PRODIGUE NICOLE,19/09/2013,Repas,€60,,
Lilly France SAS,Médecin,VAN ROOMEN PATRICIA,16/05/2014,REPAS,€35,,
MEDEXACT,Médecin,ESTEVE HENRI,21/05/2013,Autre: [Enquête],€16,,
MSD France,Médecin,LAMBERT ELODIE,11/02/2014,REPAS,€60,,
MSD France,Médecin,LAMBERT ELODIE,26/06/2014,REPAS,€60,,
MSD France,Médecin,LAMBERT ELODIE,11/06/2013,HOSPITALITÉ,€50,,
NOVARTIS PHARMA SAS,Médecin,ESTEVE HENRI,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,LAMBERT ELODIE,03/10/2013,Autre : [Hospitalité Evenement Scientifique],€55,,
PIERRE FABRE MEDICAMENT,Médecin,ESTEVE HENRI,11/04/2014,RESTAURATION,€32,,
PIERRE FABRE MEDICAMENT,Médecin,LAMBERT ELODIE,21/01/2013,Restauration,€56,,
SANOFI AVENTIS FRANCE,Infirmier,GARNIER DERET MARYSE,21/11/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,ESTEVE HENRI,21/11/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Médecin,LAMBERT ELODIE,12/02/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Médecin,LAMBERT ELODIE,21/11/2013,Restauration,€39,,
SANOFI AVENTIS FRANCE,Pharmacien,BURRILLON CHRISTOPHE,24/04/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Pharmacien,BURRILLON CHRISTOPHE,03/06/2014,Repas,€28,,
