3M France,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,YEDIOU LAZHAR,26/11/2013,REPAS,€17,,
ABBOTT FRANCE,Manipulateur d’électroradiologie médicale,AMBRASINI OLIVIER,16/12/2013,REPAS,€23,,
ABBOTT FRANCE,Manipulateur d’électroradiologie médicale,BUTTIN AURELIEN,16/12/2013,REPAS,€23,,
ABBOTT FRANCE,Manipulateur d’électroradiologie médicale,VARNET CINDY,16/12/2013,REPAS,€23,,
ABBOTT FRANCE,Médecin,CROISONNIER ANNE,05/06/2014,REPAS,€10,,
ABBOTT FRANCE,Médecin,CROISONNIER ANNE,05/06/2014,REPAS,€10,,
ABBOTT FRANCE,Médecin,CROISONNIER ANNE,05/06/2014,REPAS,€10,,
ABBOTT FRANCE,Médecin,CROISONNIER ANNE,05/06/2014,REPAS,€48,,
ABBOTT FRANCE,Médecin,LANTERNIER SERGE,27/02/2014,REPAS,€59,,
ABBOTT PRODUCTS SAS,Médecin,AUDAY Franck thierry,24/07/2013,REPAS,€39,,
ABBOTT PRODUCTS SAS,Médecin,BAQUE Bernard,04/10/2013,REPAS,€10,,
ABBOTT PRODUCTS SAS,Médecin,CHARVET Remi,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,CHARVET REMI,20/05/2014,REPAS,€22,,
ABBOTT PRODUCTS SAS,Médecin,CUSIN Nathalie,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,DAVID Bernard,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,GUICHARD ERIC,06/06/2014,REPAS,€30,,
ABBOTT PRODUCTS SAS,Médecin,JOUNEH Mohamed hassan,17/09/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Médecin,LAUGIER Jacques,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LEBAYLE Pierre marc,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,LE BLOND Jean,04/10/2013,REPAS,€10,,
ABBOTT PRODUCTS SAS,Médecin,MERCIER NUMA,20/05/2014,REPAS,€22,,
ABBOTT PRODUCTS SAS,Médecin,MESSIN Benoit,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,NINET Jean christophe,17/09/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Médecin,POINSIGNON Jean pierre,17/09/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Médecin,RAZAKABOAY Muriel,17/09/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Médecin,RIVAIL Claude,27/11/2013,REPAS,€60,,
AbbVie,Infirmier,ARGENTI SOPHIE,14/11/2013,REPAS,€12,,
AbbVie,Médecin,BERGER GAUCHIER FRANCOISE,26/11/2013,Repas,€37,,
