3M France,Chirurgien-dentiste,KODJIKIAN SANDRINE,10/04/2014,REPAS,€68,,
ABBOTT PRODUCTS SAS,Médecin,BESSON Christophe,17/09/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Médecin,BOHN BENOIT,10/04/2014,REPAS,€31,,
ABBOTT PRODUCTS SAS,Médecin,BRUN Francois,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,CHAN Thierry,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,CHEVALLIER CHRISTIAN,10/04/2014,REPAS,€31,,
ABBOTT PRODUCTS SAS,Médecin,GARREL Eric,27/11/2013,REPAS,€60,,
ABBOTT PRODUCTS SAS,Médecin,GUEDDAH NASSAR,10/04/2014,REPAS,€31,,
AbbVie,Médecin,BOHN BENOIT,11/07/2013,Repas,€49,,
AbbVie,Médecin,BOHN BENOIT,14/11/2013,Repas,€42,,
AbbVie,Médecin,BOHN BENOIT,11/02/2014,REPAS,€47,,
AbbVie,Médecin,BOHN BENOIT,27/02/2014,REPAS,€44,,
AbbVie,Médecin,CHEVALLIER CHRISTIAN,11/07/2013,Repas,€49,,
AbbVie,Médecin,CHEVALLIER CHRISTIAN,27/02/2014,REPAS,€44,,
AbbVie,Médecin,CHEVALLIER CHRISTIAN,14/11/2013,Repas,€42,,
AbbVie,Médecin,CHEVALLIER CHRISTIAN,11/02/2014,REPAS,€47,,
AbbVie,Médecin,FROISSART BRUNO,14/11/2013,Repas,€42,,
AbbVie,Médecin,FROISSART BRUNO,11/02/2014,REPAS,€47,,
AbbVie,Médecin,FROISSART BRUNO,11/07/2013,Repas,€49,,
AbbVie,Médecin,FROISSART BRUNO,27/02/2014,REPAS,€44,,
AbbVie,Médecin,GUEDDAH NASSAR,14/11/2013,Repas,€42,,
AbbVie,Médecin,GUEDDAH NASSAR,11/07/2013,Repas,€49,,
AbbVie,Médecin,GUEDDAH NASSAR,27/02/2014,REPAS,€44,,
AbbVie,Médecin,JAMET ALAIN,13/05/2014,REPAS,€30,,
AbbVie,Médecin,MARION FRANCIS,14/11/2013,REPAS,€12,,
AbbVie,Médecin,PAYEN CATHERINE,13/05/2014,REPAS,€30,,
Actelion Pharmaceuticals France,Médecin,CANE ARIANA,17/06/2014,REPAS,€59,,
Actelion Pharmaceuticals France,Médecin,HALLALI PATRICK,17/06/2014,REPAS,€59,,
AGIR à dom Assistance,Médecin,KUENTZ Martine,26/03/2013,[REPAS],€33,,
ALFA WASSERMANN PHARMA,Médecin,BOHN BENOIT,06/02/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,BOHN BENOIT,22/05/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,BONAZ BRUNO,23/07/2013,REPAS,€37,,
ALFA WASSERMANN PHARMA,Médecin,GUEDDAH NASSAR,06/02/2014,REPAS,€22,,
ALFA WASSERMANN PHARMA,Médecin,GUEDDAH NASSAR,22/05/2014,REPAS,€22,,
ALK-Abelló,Médecin,GIREY RANNAUD JANIE,07/01/2013,AUTRE : [RESTAURATION],€19,,
ALK-Abelló,Médecin,GIREY RANNAUD JANIE,01/07/2013,AUTRE : [RESTAURATION],€26,,
ALK-Abelló,Médecin,JEANJEAN CLAUDE,07/01/2013,AUTRE : [RESTAURATION],€19,,
ALK-Abelló,Médecin,JEANJEAN CLAUDE,01/07/2013,AUTRE : [RESTAURATION],€26,,
ALK-Abelló,Médecin,KUENTZ ROUSSEAUX MARTINE,07/01/2013,AUTRE : [RESTAURATION],€19,,
ALK-Abelló,Médecin,PLAINDOUX AGNES,01/07/2013,AUTRE : [RESTAURATION],€26,,
ALK-Abelló,Médecin,PLAINDOUX AGNES,07/01/2013,AUTRE : [RESTAURATION],€19,,
ALLERGAN FRANCE,Médecin,BERTHOD FRANCOISE,10/04/2014,HOSPITALITE,€60,,
ALLERGAN FRANCE,Médecin,BORGEL FLORENT,06/11/2013,REPAS,€53,,
ALLERGAN FRANCE,Médecin,BORGEL FLORENT,06/11/2013,REPAS,€53,,
ALLERGAN FRANCE,Médecin,BORGEL FLORENT,28/01/2014,REPAS,€33,,
ALLERGAN FRANCE,Médecin,CHEVALIER DENIS,20/06/2014,REPAS,€48,,
ALLERGAN FRANCE,Médecin,DELCROIX BRIGITTE,19/06/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,DELESTRAS CLAIRE MICHELE,20/06/2014,REPAS,€48,,
ALLERGAN FRANCE,Médecin,LOMBARD MARIE CLAIRE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,LOMBARD MARIE CLAIRE,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,MICHELI GANDY MURIEL,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,11/09/2013,REPAS,€59,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,22/11/2013,REPAS,€27,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,23/12/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,17/07/2013,REPAS,€16,,
ALLERGAN FRANCE,Médecin,SADEK HAZEM,28/11/2013,REPAS,€64,,
ALLERGAN FRANCE,Médecin,TOUBOUL JEAN,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,ZAMBELLI CLAUDINE,03/12/2013,REPAS,€50,,
ALLERGAN FRANCE,Médecin,ZAMBELLI CLAUDINE,15/10/2013,REPAS,€60,,
ALLERGAN FRANCE,Médecin,ZAMBELLI CLAUDINE,22/10/2013,REPAS,€60,,
Amplifon Groupe France,Médecin,CHION JEAN LUC,28/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€2,910",,
Amplifon Groupe France,Médecin,PENISSON LANNOY LAURENCE,16/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,188",,
Amplifon Groupe France,Médecin,ROUX OLIVIER,28/05/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€2,970",,
