ABBOTT PRODUCTS SAS,Médecin,LAGADEC Jean,17/09/2013,REPAS,€47,,
AbbVie,Médecin,SUDRE ANNE,16/07/2013,Repas,€11,,
ASTRAZENECA,Infirmier,AJLANI JOELLE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,BRAISAZ SYLVIE,06/06/2014,Repas,€20,,
ASTRAZENECA,Infirmier,CAILLAT KHADIJA,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,FEAU CATHERINE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,HEUDIARD OLIVIER,06/06/2014,Repas,€20,,
ASTRAZENECA,Infirmier,MERCA MARIE HELENE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MINA MARIE CECILE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,MORALES GENEVIEVE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,PERCEVAULT GAELLE,06/06/2014,Repas,€20,,
ASTRAZENECA,Infirmier,TARTAMELLA CAROLINE,24/01/2014,Repas,€25,,
ASTRAZENECA,Infirmier,TARTAMELLA CAROLINE,06/06/2014,Repas,€20,,
ASTRAZENECA,Infirmier,VITTOZ PASCAL,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,02/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,24/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,02/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,BOUDJEMA MEHDI,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDOU JACQUES,03/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDOU JACQUES,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOUDOU JACQUES,07/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BUTAUD MATHIAS,19/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,CHADLI FOUAD,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHADLI FOUAD,06/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHADLI FOUAD,06/06/2014,Repas,€20,,
ASTRAZENECA,Médecin,CHADLI FOUAD,24/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,CHADLI FOUAD,05/06/2014,[Repas],€57,,
ASTRAZENECA,Médecin,MELOT ALAIN,17/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,MELOT ALAIN,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,MELOT ALAIN,24/01/2014,Repas,€25,,
ASTRAZENECA,Médecin,MELOT ALAIN,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,MELOT ALAIN,18/03/2014,Repas,€57,,
ASTRAZENECA,Pharmacien,CLOITRE PIERRETTE,06/06/2014,Repas,€20,,
BIOCODEX,Médecin,BOUDOU JACQUES,21/03/2014,REPAS,€40,,
ICOMED,Chirurgien-dentiste,MELLINGER JEANNIN MARTINE,25/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,MELLINGER JEANNIN MARTINE,06/05/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,THIERIOT VERONIQUE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BOUDJEMA MEHDI,21/01/2014,Autre: [Enquête],€16,,
ICOMED,Médecin,BOUDJEMA MEHDI,26/02/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BOUDOU JACQUES,28/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,BUTAUD MATHIAS,21/05/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,BUTAUD MATHIAS,28/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,GIRAUD BARO ELISABETH,12/03/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,LE FUR ESTELLE,25/09/2013,Autre: [Enquête],€21,,
ICOMED,Médecin,SUDRE ANNE,23/06/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,VAGNON BRIGITTE,19/09/2013,Autre: [Enquête],€29,,
JANSSEN-CILAG,Médecin,BOUDJEMA MEHDI,19/09/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,BOUDJEMA MEHDI,25/02/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,BOUDJEMA MEHDI,28/05/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,CHADLI FOUAD,19/09/2013,REPAS,€55,,
JANSSEN-CILAG,Médecin,CHADLI FOUAD,25/02/2013,REPAS,€23,,
JANSSEN-CILAG,Médecin,CHADLI FOUAD,28/05/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,DUBREUCQ JULIEN,04/04/2013,REPAS,€28,,
JANSSEN-CILAG,Médecin,DUBREUCQ JULIEN,26/03/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,28/05/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,25/06/2013,AUTRE : REMBOURSEMENT DE FRAIS,€135,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,25/06/2013,HEBERGEMENT,€110,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,25/06/2013,AUTRE : REMBOURSEMENT DE FRAIS,€135,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,28/05/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,26/03/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,GIRAUD BARO ELISABETH,07/02/2013,REPAS,€73,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOUDOU JACQUES,22/01/2014,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EVE VAGNON BRIGITTE,29/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EVE VAGNON BRIGITTE,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EVE VAGNON BRIGITTE,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FUR ESTELLE,29/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FUR ESTELLE,13/12/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MELOT ALAIN,09/04/2013,Hospitalite,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHON AUPIC SYLVIE,29/06/2012,Hospitalité,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHON AUPIC SYLVIE,24/05/2012,Hospitalité,€10,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MICHON AUPIC SYLVIE,24/05/2012,Hospitalité,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAGNON BRIGITTE,13/12/2013,REPAS,€34,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VAGNON BRIGITTE,24/10/2013,REPAS,€24,,
LABORATOIRE GLAXOSMITHKLINE,Pharmacien,CLOITRE PIERRETTE,04/10/2012,Hospitalité,€48,,
Laboratoire Innothera,Autres types de personne morale,SELARL PONT ROUGE,19/12/2013,CADEAUX,€20,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRANAT BÉATRICE,05/06/2014,REPAS,€63,,
Laboratoires Crinex,Médecin,LE FUR ESTELLE,10/01/2013,REPAS,€17,,
Laboratoires Crinex,Médecin,MICHON AUPIC SYLVIE,10/01/2013,REPAS,€17,,
LEO Pharma,Association professionnel de santé,ASSOCIATION POUR LE DEVELOPPEMENT DE L'ORHTOPEDIE ET LA TRAUMATOLOGIE DU SPORT,18/03/2014,DONS DE FONCTIONNEMENT,€700,,
LES LABORATOIRES SERVIER,Médecin,GIRAUD BARO ELISABETH,22/01/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,GIRAUD BARO ELISABETH,22/01/2014,Hébergement,€480,,
LES LABORATOIRES SERVIER,Médecin,GIRAUD BARO ELISABETH,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,GIRAUD BARO ELISABETH,22/01/2014,Transport,€200,,
LES LABORATOIRES SERVIER,Médecin,MANUEL BERNARD,15/05/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MELOT ALAIN,14/04/2014,Repas,€55,,
