APTALIS PHARMA SAS,Médecin,DEMEURE MARIE LAURE,24/01/2014,FRAIS D'HOSPITALIT,€32,,
ASTELLAS PHARMA,Médecin,DEMEURE MARIE LAURE,16/05/2013,REPAS,€37,,
ASTELLAS PHARMA,Médecin,DOREY LAMARQUE MARIE PIERRE,16/05/2013,REPAS,€37,,
ASTELLAS PHARMA,Médecin,MILLON ANDRE,16/05/2013,REPAS,€37,,
ASTRAZENECA,Médecin,DOREY LAMARQUE MARIE PIERRE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,TISSIER SEMOUX MAUD,10/12/2013,Repas,€57,,
BIOCODEX,Médecin,BONNARD MARC,20/02/2014,REPAS,€56,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BONNARD MARC,03/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEMEURE MARIE LAURE,03/04/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEMEURE MARIE LAURE,03/10/2013,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DEMEURE MARIE LAURE,15/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,DOREY LAMARQUE MARIE PIERRE,15/05/2014,HOSPITALITE,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DEMEURE MARIE LAURE,21/03/2014,Repas,€45,,
BRISTOL-MYERS SQUIBB,Médecin,GRAPIN LUCIE,10/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Pharmacien,BARAILLER JEAN MICHEL,10/04/2014,Repas,€60,,
ICOMED,Médecin,DARFEUIL THIERRY,27/11/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DEMEURE MARIE LAURE,11/12/2013,Autre: [Enquête],€31,,
ICOMED,Médecin,DOREY LAMARQUE MARIE PIERRE,29/04/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,DOREY LAMARQUE MARIE PIERRE,06/02/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TISSIER SEMOUX MAUD,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,TISSIER SEMOUX MAUD,13/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMEURE MARIE LAURE,10/02/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMEURE MARIE LAURE,05/10/2012,Hospitalité,€52,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DEMEURE MARIE LAURE,12/04/2013,Hospitalite,€53,,
LABORATOIRES CONVATEC,Infirmier,THOLOT HÉLÈNE,24/09/2013,DEJEUNER,€13,,
Laboratoires Grünenthal SAS,Médecin,DEMEURE MARIE LAURE,05/06/2014,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,DEMEURE MARIE LAURE,05/09/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,DEMEURE MARIE LAURE,06/03/2014,REPAS,€55,,
LES LABORATOIRES SERVIER,Médecin,DEMEURE MARIE LAURE,04/07/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,DEMEURE MARIE LAURE,20/03/2014,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,MILLON ANDRE,20/03/2014,Repas,€60,,
LUNDBECK SAS,Médecin,DEMEURE MARIE LAURE,18/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€28,,
MENARINI FRANCE,Médecin,DARFEUIL THIERRY,01/10/2013,REPAS,€45,,
MENARINI FRANCE,Médecin,DEMEURE MARIE LAURE,01/10/2013,REPAS,€45,,
MSD France,Médecin,BONNARD MARC,25/04/2013,HOSPITALITÉ,€60,,
MSD France,Médecin,BONNARD MARC,29/10/2013,REPAS,€60,,
MUNDIPHARMA,Médecin,DOREY LAMARQUE MARIE PIERRE,06/05/2014,REPAS,€55,,
PHADIA SAS,Médecin,TAMIAN JEAN_PAUL,15/05/2014,REPAS,€15,,
PIERRE FABRE MEDICAMENT,Médecin,DEMEURE MARIE LAURE,11/12/2012,Restauration,€40,,
PIERRE FABRE MEDICAMENT,Médecin,DEMEURE MARIE LAURE,26/04/2012,Restauration,€36,,
PIERRE FABRE MEDICAMENT,Médecin,DEMEURE MARIE LAURE,06/04/2012,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,MILLON ANDRE,17/12/2013,RESTAURATION,€60,,
SANOFI AVENTIS FRANCE,Pharmacien,CELLIERE CATHERINE,27/03/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Pharmacien,GILLET XAVIER,27/03/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Pharmacien,MERTEN GARDIES PASCALE,27/03/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FERLICOT MARYLINE,27/03/2014,Repas,€47,,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,IMMORDINO ELODIE,27/03/2014,Repas,€47,,
