ABBOTT PRODUCTS SAS,Médecin,BERNARDEAU LOUNICI Claude,19/09/2013,REPAS,€53,,
ALK-Abelló,Médecin,BERNARDEAU LOUNICI CLAUDE,27/03/2012,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,GOURLAY FLORENCE,27/03/2012,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,LOUNICI KARIM,27/03/2012,AUTRE : [RESTAURATION],€50,,
ALK-Abelló,Médecin,ORTIZ DE LAZCANO PATRICK,27/03/2012,AUTRE : [RESTAURATION],€50,,
ASPEN FRANCE,Médecin,VITTET Frédérique,30/01/2014,Repas,€23,,
ASTELLAS PHARMA,Médecin,BERGEROT PHILIPPE,28/09/2012,TRANSPORT,€18,,
ASTELLAS PHARMA,Médecin,BERGEROT PHILIPPE,18/11/2013,TRANSPORT,€79,,
ASTELLAS PHARMA,Médecin,BERNARDEAU LOUNICI CLAUDE,14/02/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,VOURC H SAUTERON STEPHANIE,12/06/2014,REPAS,€50,,
ASTRAZENECA,Médecin,BERNARDEAU LOUNICI CLAUDE,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BERNARDEAU LOUNICI CLAUDE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BERNARDEAU LOUNICI CLAUDE,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,CLERMONT ROZENN,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,DOUCHIN OLIVIER,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,HUBERT BENEDICTE,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOUNICI KARIM,16/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LOUNICI KARIM,05/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,LOUNICI KARIM,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ORTIZ DE LAZCANO PATRICK,03/04/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BERNARDEAU LOUNICI CLAUDE,15/05/2014,Hospitalité,€52,,
Bayer HealthCare SAS,Médecin,DOUCHIN OLIVIER,27/05/2014,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,LOUNICI KARIM,15/05/2014,Hospitalité,€52,,
Bayer HealthCare SAS,Médecin,PENANHOAT JEAN YVES,30/05/2013,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,PENANHOAT JEAN YVES,27/05/2014,Hospitalité,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHAUVE JEAN YVES,14/05/2014,HOSPITALITE,€60,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CHAUVE JEAN YVES,14/05/2014,HOSPITALITE,€288,,
BOIRON,Médecin,JARRY ERIC,28/01/2014,[REPAS],€17,,
BOIRON,Médecin,JARRY ERIC,18/03/2014,[REPAS],€19,,
BOIRON,Médecin,JARRY ERIC,17/06/2014,[REPAS],€40,,
BOIRON,Médecin,JARRY ERIC,03/12/2013,[REPAS],€33,,
BOIRON,Médecin,JARRY ERIC,20/05/2014,[REPAS],€19,,
BOIRON,Pharmacien,DANKAR SOPHIE,08/04/2014,[REPAS],€19,,
BOIRON,Pharmacien,SICLON AUDREY,08/04/2014,[REPAS],€19,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAMOUREUX AGNES,08/04/2014,[REPAS],€19,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MALUAUD EMMANUELLE,08/04/2014,[REPAS],€19,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MOYON SYLVIE,08/04/2014,[REPAS],€19,,
BRISTOL-MYERS SQUIBB,Médecin,ORTIZ DE LAZCANO PATRICK,27/03/2014,Repas,€30,,
BRISTOL-MYERS SQUIBB,Médecin,ORTIZ DE LAZCANO PATRICK,24/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,ORTIZ DE LAZCANO PATRICK,24/10/2013,Repas,€60,,
BSN-RADIANTE SAS,Pharmacien,HOCDÉ Anne-Sophie,19/03/2013,Repas,€18,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,FLEURY Audrey,19/03/2013,Repas,€18,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SICLON AUDREY,01/04/2014,REPAS,€68,,
DAIICHI SANKYO FRANCE SAS,Médecin,LELARD CHRISTOPHE,05/10/2013,Repas,€105,,
DAIICHI SANKYO FRANCE SAS,Médecin,LELARD CHRISTOPHE,05/10/2013,Hospitalité,€125,,
ICOMED,Chirurgien-dentiste,MATTIONI DAVID,29/04/2014,Autre: [Enquête],€12,,
ICOMED,Chirurgien-dentiste,MATTIONI DAVID,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,RAIMBEAU FRANCOIS,08/04/2013,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,RAIMBEAU FRANCOIS,06/05/2014,Autre: [Enquête],€11,,
ICOMED,Chirurgien-dentiste,SIMONNET CLAIRE,26/04/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,CARNELLE BRUNO,06/01/2014,Autre: [Enquête],€26,,
