3M France,Chirurgien-dentiste,BAILLY THOMAS,29/10/2013,REPAS,€47,,
ABBOTT PRODUCTS SAS,Infirmier,LEFEBVRE HELENE,03/04/2014,REPAS,€24,,
ABBOTT PRODUCTS SAS,Médecin,AGOUTE ERIC,03/04/2014,REPAS,€24,,
ABBOTT PRODUCTS SAS,Médecin,EL BRAKS ROLAND,03/04/2014,REPAS,€24,,
ABBOTT PRODUCTS SAS,Médecin,YIMFOR TAJIOGUE,03/04/2014,REPAS,€24,,
AbbVie,Infirmier,COUSIN JOCELYNE,18/10/2013,Repas,€26,,
AbbVie,Médecin,AGOUTE ERIC,20/03/2014,TRANSPORT,€101,,
AbbVie,Médecin,AGOUTE ERIC,22/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,AGOUTE ERIC,21/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,AGOUTE ERIC,20/03/2014,INSCRIPTION,€460,,
AbbVie,Médecin,AGOUTE ERIC,17/09/2013,HOSPITALITE,€70,,
AbbVie,Médecin,AGOUTE ERIC,20/03/2014,HEBERGEMENT,€220,,
AbbVie,Médecin,EL BRAKS ROLAND,17/09/2013,HOSPITALITE,€70,,
AbbVie,Médecin,FOUDHAILI HOUSSEM,28/11/2013,REPAS,€29,,
AbbVie,Médecin,PERRIN FRANCOIS,20/09/2013,Repas,€33,,
AbbVie,Médecin,SANNIER NATHALIE,02/12/2013,REPAS,€14,,
AbbVie,Pharmacien,CHARLOT PIERRE HENRI,20/09/2013,Repas,€33,,
AbbVie,Pharmacien,DIAINE OLIVIER,20/09/2013,Repas,€33,,
AbbVie,Pharmacien,LIMOUSIN VINCENT,20/09/2013,Repas,€33,,
AbbVie,Pharmacien,MASSON BENEDICTE,20/09/2013,Repas,€33,,
AbbVie,Pharmacien,MASSON MORGANE,28/11/2013,REPAS,€23,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHESNOY RENEE FRANCE,01/10/2013,Repas,€10,,
AbbVie,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CLEMENT NATHALIE,01/10/2013,Repas,€10,,
