ANTHOGYR,Médecin,GUESSAN Emmanuel,28/11/2013,Repas ou Hébèrgement,€46,,
ASTRAZENECA,Médecin,BINDEL ROLAND,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,BINDEL ROLAND,20/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,BINDEL ROLAND,18/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,BINDEL ROLAND,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,BINDEL ROLAND,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,25/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,18/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,01/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,01/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,ROCHE JEAN LOUIS,27/05/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,BINDEL ROLAND,13/03/2014,Hospitalité,€40,,
Bayer HealthCare SAS,Médecin,ROCHE JEAN LOUIS,13/03/2014,Hospitalité,€40,,
BAYER SANTE FAMILIALE,Médecin,LAURENT YANN,15/10/2013,REPAS,€34,,
BOEHRINGER INGELHEIM FRANCE,Médecin,BINDEL ROLAND,26/02/2014,HOSPITALITE,€37,,
BOEHRINGER INGELHEIM FRANCE,Médecin,ROCHE JEAN LOUIS,26/02/2014,HOSPITALITE,€37,,
BRISTOL-MYERS SQUIBB,Médecin,BINDEL ROLAND,25/02/2014,Repas,€51,,
BRISTOL-MYERS SQUIBB,Médecin,ROCHE JEAN LOUIS,29/04/2014,Repas,€59,,
BRISTOL-MYERS SQUIBB,Médecin,ROCHE JEAN LOUIS,17/06/2014,Repas,€50,,
BRISTOL-MYERS SQUIBB,Médecin,ROCHE JEAN LOUIS,25/02/2014,Repas,€51,,
CHIESI SA,Médecin,BINDEL ROLAND,18/02/2014,Repas,€60,,
CHIESI SA,Médecin,ROCHE JEAN LOUIS,18/02/2014,Repas,€60,,
ICOMED,Médecin,BINDEL ROLAND,06/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,ROCHE JEAN LOUIS,03/02/2014,Autre: [Enquête],€27,,
JANSSEN-CILAG,Médecin,BINDEL ROLAND,11/04/2013,REPAS,€49,,
JANSSEN-CILAG,Médecin,ROCHE JEAN LOUIS,11/04/2013,REPAS,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BINDEL ROLAND,08/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BINDEL ROLAND,09/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCHE JEAN LOUIS,14/06/2012,Hospitalité,€49,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCHE JEAN LOUIS,09/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ROCHE JEAN LOUIS,20/11/2012,Hospitalité,€60,,
Laboratoires Grünenthal SAS,Médecin,ROCHE JEAN LOUIS,27/08/2013,REPAS,€45,,
Laboratoires Leurquin Mediolanum,Médecin,ROCHE JEAN LOUIS,08/01/2014,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CAILLON-DELALY AGNES,15/10/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,ROCHE JEAN LOUIS,24/06/2014,Repas,€54,,
LES LABORATOIRES SERVIER,Médecin,ROCHE JEAN LOUIS,17/09/2013,Repas,€50,,
Lilly France SAS,Médecin,BINDEL ROLAND,28/01/2014,REPAS,€55,,
Lilly France SAS,Médecin,BINDEL ROLAND,08/10/2013,REPAS,€60,,
Lilly France SAS,Médecin,BINDEL ROLAND,28/01/2014,REPAS,€55,,
Lilly France SAS,Médecin,ROCHE JEAN LOUIS,28/01/2014,REPAS,€55,,
Lilly France SAS,Médecin,ROCHE JEAN LOUIS,28/01/2014,REPAS,€55,,
MEDEXACT,Médecin,ROCHE JEAN LOUIS,17/06/2013,Autre: [Enquête],€16,,
MENARINI FRANCE,Médecin,BINDEL ROLAND,26/11/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,BINDEL ROLAND,17/10/2013,REPAS,€55,,
MENARINI FRANCE,Médecin,ROCHE JEAN LOUIS,26/11/2013,REPAS,€55,,
Molnlycke Health Care,Infirmier,DOMAS KARINE,20/02/2014,REPAS,€21,,
MSD France,Médecin,BINDEL ROLAND,26/04/2012,REPAS,€83,,
MSD France,Médecin,BINDEL ROLAND,22/03/2012,REPAS,€26,,
MSD France,Médecin,BINDEL ROLAND,16/10/2012,REPAS,€60,,
MSD France,Médecin,ROCHE JEAN LOUIS,21/02/2012,REPAS,€40,,
MSD France,Médecin,ROCHE JEAN LOUIS,16/10/2012,REPAS,€60,,
MSD France,Médecin,ROCHE JEAN LOUIS,26/04/2012,REPAS,€83,,
NOVARTIS PHARMA SAS,Médecin,BINDEL ROLAND,18/03/2014,Repas,€42,,
NOVARTIS PHARMA SAS,Médecin,BINDEL ROLAND,03/10/2013,Repas,€29,,
NOVARTIS PHARMA SAS,Médecin,ROCHE JEAN LOUIS,03/10/2013,Repas,€29,,
PIERRE FABRE MEDICAMENT,Médecin,ROCHE JEAN LOUIS,03/04/2012,Restauration,€43,,
SANOFI AVENTIS FRANCE,Médecin,BINDEL ROLAND,27/02/2014,Repas,€40,,
SANOFI AVENTIS FRANCE,Médecin,BINDEL ROLAND,06/03/2014,Repas,€21,,
