ARCHIMEDES PHARMA France,Infirmier,JAUMONT CECILE,12/12/2013,Repas,€10,,
ARCHIMEDES PHARMA France,Médecin,BOZZOLA PATRICK,12/12/2013,Repas,€10,,
ARCHIMEDES PHARMA France,Médecin,LIENHARDT GABRIELLE,12/12/2013,Repas,€10,,
ARCHIMEDES PHARMA France,Médecin,RIDOLFI CLAUDE,12/12/2013,Repas,€10,,
ARCHIMEDES PHARMA France,Pharmacien,MENOUX JACQUES,12/12/2013,Repas,€10,,
ARCHIMEDES PHARMA France,Pharmacien,SAMUELI LILIANE,12/12/2013,Repas,€10,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,20/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,BIZOT CLAUDE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,18/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,12/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOZZOLA PATRICK,07/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,MAIRE EMILIE,05/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,MENOUX JACQUES,05/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SAMUELLI LILIANE,05/12/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,SPANGENBERGER KHADIJA,05/12/2013,Repas,€57,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CERVANTES CLAIRE,09/10/2013,HOSPITALITE,€19,,
BRISTOL-MYERS SQUIBB,Médecin,BOZZOLA PATRICK,04/07/2013,Repas,€60,,
BSN-RADIANTE SAS,Pharmacien,DOHM-PAGOTTO Corinne,19/12/2013,Repas,€31,,
BSN-RADIANTE SAS,Pharmacien,SAMUELLI Liliane,19/12/2013,Repas,€31,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CIMATTI Céline,19/12/2013,Repas,€31,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RERAMBRIN Florence,19/12/2013,Repas,€31,,
BSN-RADIANTE SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,SEYLER Sandrine,19/12/2013,Repas,€31,,
CHIESI SA,Médecin,MARGAROLI ERIC,16/01/2014,Repas,€50,,
CONGRES COLLOQUES CONVENTIONS,Médecin,BIZOT CLAUDE,07/12/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FRELING VERONIQUE,17/02/2014,REPAS,€19,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,FRELING VERONIQUE,20/01/2014,REPAS,€31,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,SAMUELLI LILIANE,07/04/2014,REPAS,€20,,
ICOMED,Chirurgien-dentiste,GALL PIERRE,24/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,WACH WICKER MICHELE,15/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,BOZZOLA PATRICK,09/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BOZZOLA PATRICK,06/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,MATHIS FRANCIS,16/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MATHIS FRANCIS,07/01/2013,Autre: [Enquête],€21,,
