ARJOHUNTLEIGH,Etablissement de santé,EHPAD DE GORZE,25/01/2012,Repas,€19,,
ASTRAZENECA,Médecin,CAUBEL FRANCOIS,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,CHINAULT PATRICIA,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARTINONI JULIE,27/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,MARTINONI JULIE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,PARACHE JEAN FRANCOIS,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,PERREIN CHRISTIAN,08/10/2013,Repas,€57,,
colgate palmolive,Chirurgien-dentiste,SOULET JEAN MARC,05/03/2014,Dons de materiel,€16,,
ICOMED,Médecin,CHINAULT PATRICIA,13/12/2013,Autre: [Enquête],€15,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,07/05/2014,REPAS,€53,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,18/12/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,23/08/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,22/02/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,15/02/2013,REPAS,€50,,
JANSSEN-CILAG,Médecin,BRABANT ARMELLE,03/07/2013,REPAS,€60,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,04/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,25/03/2014,REPAS,€59,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,31/01/2014,AUTRE : ENVOI D'ARTICLES OU D'OUVRAGES SCIENTIFIQUES,€111,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,22/10/2013,REPAS,€24,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,26/03/2013,REPAS,€44,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,04/06/2013,REPAS,€43,,
JANSSEN-CILAG,Médecin,CAHEN EVELYNE,31/01/2014,AUTRE : ENVOI D'ARTICLES OU D'OUVRAGES SCIENTIFIQUES,€111,,
JANSSEN-CILAG,Pharmacien,DE MOUZON ALINE,22/02/2013,REPAS,€53,,
JANSSEN-CILAG,Pharmacien,LEY ANNE CHRISTINE,26/06/2013,REPAS,€56,,
LEO Pharma,Médecin,BERRICHI ABOUBEKR,11/11/2013,HOSPITALITE,"€1,034",,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,05/06/2014,Transport,€33,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,22/01/2014,Hébergement,€480,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,22/01/2014,Autre : Inscription,€350,,
LES LABORATOIRES SERVIER,Médecin,CAHEN EVELYNE,22/01/2014,Repas,€62,,
