AMO FRANCE SAS,Opticien-lunetier,TERRIER ANNIE,05/06/2014,REPAS DE TRAVAIL,€50,,
ASTRAZENECA,Médecin,MARCOTTE MICHEL,05/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,WEILLAERT PASCAL,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,WEILLAERT PASCAL,20/03/2014,Repas,€57,,
Bayer HealthCare SAS,Médecin,VANSTEENBERGHE OLIVIA,12/06/2014,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,VERDOUCQ ISABELLE,10/10/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,VERDOUCQ ISABELLE,12/06/2014,Hospitalité,€26,,
Bayer HealthCare SAS,Médecin,VERDOUCQ ISABELLE,16/11/2013,Hospitalité,€213,,
Bayer HealthCare SAS,Médecin,WEILLAERT PASCAL,10/10/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Médecin,WEILLAERT PASCAL,12/06/2014,Hospitalité,€25,,
Bayer HealthCare SAS,Médecin,WEILLAERT PASCAL,16/11/2013,Hospitalité,€213,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VERDOUCQ ISABELLE,23/11/2013,HOSPITALITE,€186,,
BOEHRINGER INGELHEIM FRANCE,Médecin,VERDOUCQ ISABELLE,25/09/2013,HOSPITALITE,€55,,
BOEHRINGER INGELHEIM FRANCE,Médecin,WEILLAERT PASCAL,25/09/2013,HOSPITALITE,€55,,
BRISTOL-MYERS SQUIBB,Médecin,BOMMEL CHRISTIAN,13/09/2013,Repas,€51,,
BRISTOL-MYERS SQUIBB,Médecin,FLIPO STANISLAS,13/09/2013,Repas,€51,,
COSMETIQUE ACTIVE FRANCE,Etudiant,STEVENOOT RAUWEL VINCENT,20/05/2014,REPAS,€23,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DELAETER MARIE,20/05/2014,CADEAUX,"€1,316",,
DJO France SAS,Pharmacien,DARNAUX SYLVIANE,20/03/2014,Repas,€18,,
DJO France SAS,Pharmacien,DELOBEAU MARTINE,20/03/2014,Repas,€18,,
DJO France SAS,Pharmacien,FACHE THIERRY,20/03/2014,Repas,€18,,
Fresenius Medical Care France S.A.S.,Infirmier,ANDRY CLAIRE-LYSE,05/06/2014,REPAS,€35,,
Fresenius Medical Care France S.A.S.,Infirmier,ANDRY CLAIRE-LYSE,05/06/2014,AUTRE : [JOURNEE ETUDE],€10,,
Fresenius Medical Care France S.A.S.,Infirmier,BENARD ISABELLE,05/06/2014,REPAS,€35,,
Fresenius Medical Care France S.A.S.,Infirmier,BENARD ISABELLE,05/06/2014,AUTRE : [JOURNEE ETUDE],€10,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,CHOPINAUD SYLVAIN,19/05/2014,Repas,€48,,
HILL-ROM S.A.S.,Infirmier,VANPOUILLE EDWIGE,27/11/2012,Repas d'affaires,€41,,
ICOMED,Médecin,BOMMEL CHRISTIAN,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,CARDINAEL PASCAL,24/02/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,CRETON STEPHEN,28/11/2013,Autre: [Enquête],€27,,
ICOMED,Médecin,DUBOIS BERNARD,07/01/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DUBOIS BERNARD,18/12/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,FLIPO STANISLAS,23/06/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,GOURDIN CHRISTOPHE,07/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VANSTEENBERGHE OLIVIA,24/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,VANSTEENBERGHE OLIVIA,17/06/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,DELOBEAU BODDAERT MARTINE,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,SAUTIERE MICHEL,03/06/2014,Autre: [Enquête],€27,,
ICOMED,Pharmacien,VANDAELE SYLVIE,18/02/2014,Autre: [Enquête],€12,,
ICOMED,Pharmacien,VANDAELE SYLVIE,03/06/2014,Autre: [Enquête],€24,,
JANSSEN-CILAG,Médecin,DUBOIS BERNARD,12/09/2013,REPAS,€53,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,21/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,29/06/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,06/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,13/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,05/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,17/02/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,08/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,23/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BOMMEL CHRISTIAN,25/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOIS BERNARD,11/09/2012,Hospitalité,€21,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOIS BERNARD,24/01/2013,Hospitalite,€40,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOIS BERNARD,20/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUBOIS BERNARD,12/06/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,08/02/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,15/11/2013,REPAS,€58,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,21/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,06/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,05/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,13/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,25/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,21/02/2014,REPAS,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,23/05/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,13/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FLIPO STANISLAS,05/04/2013,Hospitalite,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GODEFROY JEAN PIERRE,20/03/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VANSTEENBERGHE OLIVIA,29/03/2013,Hospitalite,€29,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDOUCQ ISABELLE,17/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDOUCQ ISABELLE,30/01/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERDOUCQ ISABELLE,12/12/2012,Hospitalité,€55,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WEILLAERT PASCAL,13/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,WEILLAERT PASCAL,30/01/2014,REPAS,€60,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE SAUTIERE SAUTIERE,21/01/2014,CADEAUX,€12,,
Laboratoires ARKOPHARMA,Préparateur en pharmacie et préparateur en pharmacie hospitalière,VANDEWALLE NATHALIE,20/02/2014,REPAS,€42,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOMMEL CHRISTIAN,06/09/2013,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FLIPO STANISLAS,06/09/2013,Repas,€55,,
Laboratoires Grünenthal SAS,Médecin,VERDOUCQ ISABELLE,03/10/2013,REPAS,€55,,
Laboratoires Grünenthal SAS,Médecin,VERDOUCQ ISABELLE,06/05/2014,REPAS,€55,,
Laboratoires Leurquin Mediolanum,Médecin,VANSTEENBERGHE OLIVIA,12/12/2013,AUTRE,€15,,
LABORATOIRES MAYOLY SPINDLER,Médecin,CORNETTE DUBOIS DOROTHEE,30/05/2014,HOSPITALITE,€48,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CROMBEZ-BAJEUX MARIE,03/12/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,CROMBEZ-BAJEUX MARIE,03/12/2013,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,FLIPO STANISLAS,20/09/2013,Repas,€48,,
LES LABORATOIRES SERVIER,Médecin,VERDOUCQ-ACHTE ISABELLE,29/11/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,VERDOUCQ-ACHTE ISABELLE,23/05/2014,Repas,€57,,
Lilly France SAS,Pharmacien,SAUTIERE MICHEL,12/12/2013,REPAS,€46,,
Molnlycke Health Care,Infirmier,GUILLAUME PROSPERE SANDRINE,16/12/2013,CADEAUX,€19,,
Molnlycke Health Care,Infirmier,GUILLAUME PROSPERE SANDRINE,15/01/2014,CADEAUX,€40,,
MSD France,Médecin,BOMMEL CHRISTIAN,19/06/2014,REPAS,€55,,
MSD France,Médecin,MARCOTTE MICHEL,11/06/2013,HOSPITALITÉ,€59,,
MSD France,Médecin,MARCOTTE MICHEL,18/03/2014,REPAS,€55,,
MSD France,Médecin,MARCOTTE MICHEL,25/06/2013,HOSPITALITÉ,€55,,
MSD France,Médecin,MARCOTTE MICHEL,20/02/2014,REPAS,€60,,
MSD France,Médecin,MARCOTTE MICHEL,10/12/2013,REPAS,€53,,
MSD France,Médecin,MARCOTTE MICHEL,28/11/2013,REPAS,€60,,
MSD France,Médecin,WEILLAERT PASCAL,07/11/2013,REPAS,€26,,
MSD France,Médecin,WEILLAERT PASCAL,10/04/2014,REPAS,€50,,
MSD France,Médecin,WEILLAERT PASCAL,18/03/2014,REPAS,€55,,
MSD France,Médecin,WEILLAERT PASCAL,03/10/2013,REPAS,€55,,
MSD France,Médecin,WEILLAERT PASCAL,10/12/2013,REPAS,€53,,
MSD France,Médecin,WEILLAERT PASCAL,15/05/2012,REPAS,€55,,
MSD France,Médecin,WEILLAERT PASCAL,20/10/2012,HOSPITALITE,€52,,
MSD France,Médecin,WEILLAERT PASCAL,19/04/2012,REPAS,€60,,
MSD France,Médecin,WEILLAERT PASCAL,28/03/2012,REPAS,€52,,
MSD France,Médecin,WEILLAERT PASCAL,10/04/2014,REPAS,€50,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,15/11/2013,Hébergement,€175,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,21/11/2013,Repas,€44,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,15/11/2013,Repas,€121,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,15/11/2013,Transport,€62,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,29/08/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
NOVARTIS PHARMA SAS,Médecin,VERDOUCQ ISABELLE,05/12/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,WEILLAERT PASCAL,05/12/2013,Autre : [Hospitalité Evenement Scientifique],€50,,
NOVARTIS PHARMA SAS,Médecin,WEILLAERT PASCAL,29/08/2013,Autre : [Hospitalité Evenement Scientifique],€53,,
PFIZER SAS,Médecin,VERDOUCQ ISABELLE,13/06/2013,Repas,€31,,
