AbbVie,Médecin,DESURMONT PHILIPPE,04/02/2014,REPAS,€32,,
Adept Field Solutions,Médecin,Houcke Philippe,11/03/2014,INDEMNITE,€150,,
ALFA WASSERMANN PHARMA,Médecin,BEHAGUE DANIEL,08/04/2014,REPAS,€20,,
ALFA WASSERMANN PHARMA,Médecin,CAYET PIERRE,26/11/2013,REPAS,€17,,
ALFA WASSERMANN PHARMA,Médecin,CAYET PIERRE,11/03/2014,REPAS,€19,,
ALFA WASSERMANN PHARMA,Médecin,KOZAK JEROME,08/04/2014,REPAS,€20,,
ALFA WASSERMANN PHARMA,Médecin,PETIT DOMINIQUE,08/04/2014,REPAS,€20,,
ALFA WASSERMANN PHARMA,Médecin,PORICHE FREDERIC,26/11/2013,REPAS,€17,,
ALFA WASSERMANN PHARMA,Médecin,PORICHE FREDERIC,11/03/2014,REPAS,€19,,
ALFA WASSERMANN PHARMA,Médecin,TAREL JEAN LUC,11/03/2014,REPAS,€19,,
ALFA WASSERMANN PHARMA,Médecin,TAREL JEAN LUC,26/11/2013,REPAS,€17,,
ALFA WASSERMANN PHARMA,Médecin,WESTCOTT SALOMON CATHERINE,11/03/2014,REPAS,€19,,
ALFA WASSERMANN PHARMA,Médecin,WESTCOTT SALOMON CATHERINE,26/11/2013,REPAS,€17,,
ALK-Abelló,Médecin,LAMBLIN DEGROS CATHERINE,01/02/2013,AUTRE : [INSCRIPTION],€220,,
ALK-Abelló,Médecin,LAMBLIN DEGROS CATHERINE,03/04/2014,Autre : [Restauration],€55,,
ALK-Abelló,Médecin,LAMBLIN DEGROS CATHERINE,01/02/2013,AUTRE : [RESTAURATION],€60,,
ALLERGAN FRANCE,Médecin,ANNONIER PASCAL,03/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,05/06/2014,REPAS,€13,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,25/06/2014,REPAS,€40,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,06/06/2014,REPAS,€11,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,07/06/2014,REPAS,€22,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,05/06/2014,REPAS,€29,,
ALLERGAN FRANCE,Médecin,CAPON ALEXANDRE,06/06/2014,REPAS,€11,,
ALLERGAN FRANCE,Médecin,ELIA ANDRE,14/12/2013,REPAS,€21,,
ALLERGAN FRANCE,Médecin,ELIA ANDRE,03/12/2013,REPAS,€16,,
ALLERGAN FRANCE,Médecin,ELIA ANDRE,15/10/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,ELIA ANDRE,12/11/2013,REPAS,€15,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,04/12/2013,REPAS,€38,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,15/06/2014,REPAS,€12,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,05/04/2014,REPAS,€46,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,HEBERGEMENT,€181,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,04/04/2014,REPAS,€16,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,03/10/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,22/01/2014,REPAS,€27,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,REPAS,€20,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,08/04/2014,TRANSPORT,€25,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,TRANSPORT,€95,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,02/05/2014,TRANSPORT,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,28/06/2013,REPAS,€43,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,19/11/2013,REPAS,€41,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,13/06/2014,HOSPITALITE,€660,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,REPAS,€20,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,HEBERGEMENT,€181,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,28/06/2013,REPAS,€43,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,05/04/2014,REPAS,€16,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,04/04/2014,REPAS,€16,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,08/04/2014,TRANSPORT,€25,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,22/01/2014,REPAS,€27,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,TRANSPORT,€170,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,16/04/2014,REPAS,€27,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,25/03/2014,REPAS,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,TRANSPORT,€95,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,03/10/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,09/10/2013,REPAS,€28,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,02/05/2014,TRANSPORT,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,07/02/2014,REPAS,€40,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,15/10/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,04/12/2013,REPAS,€38,,
ALLERGAN FRANCE,Médecin,FONTAINE THIERRY,28/06/2014,TRANSPORT,€36,,
ALLERGAN FRANCE,Médecin,PANNEQUIN CATHERINE,17/12/2013,REPAS,€30,,
ALLERGAN FRANCE,Médecin,PUECH VIRGINIE,03/04/2014,REPAS,€60,,
ALLERGAN FRANCE,Médecin,PUECH VIRGINIE,21/03/2014,REPAS,€31,,
ALLERGAN FRANCE,Médecin,PUECH LEROY VIRGINIE,10/12/2013,REPAS,€54,,
ALLERGAN FRANCE,Médecin,WISS AXEL,27/11/2013,REPAS,€56,,
ALLERGAN FRANCE,Médecin,WISS AXEL,10/10/2013,REPAS,€40,,
AMGEN SAS,Médecin,CODRON FRANCOIS,28/03/2014,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,LAMBLIN DEGROS CATHERINE,28/03/2014,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,MENSIER ERIC,10/06/2014,REPAS IMPROMPTU,€23,,
AMGEN SAS,Médecin,MENSIER ERIC,23/01/2014,REPAS IMPROMPTU,€14,,
AMGEN SAS,Médecin,VAILLANT ERIC,14/04/2014,REPAS IMPROMPTU,€18,,
ANTHOGYR,Médecin,DELAUNOY Christian,28/11/2013,Repas ou Hébèrgement,€46,,
ARROW GENERIQUES SAS,Pharmacien,GELEZ NATHALIE,20/12/2013,REPAS,€50,,
ARROW GENERIQUES SAS,Pharmacien,LECOCQ ALICIA,20/12/2013,REPAS,€50,,
ARROW GENERIQUES SAS,Pharmacien,MALLENGIER JEAN,20/12/2013,REPAS,€50,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,POLLET CLAUDE,20/12/2013,REPAS,€50,,
ARROW GENERIQUES SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RICHARD FANNY,20/12/2013,REPAS,€50,,
ASPEN FRANCE,Médecin,SCHERPEREL Michel,24/06/2014,Repas,€23,,
ASPEN FRANCE,Médecin,SCHERPEREL Michel,03/04/2014,Repas,€27,,
ASPEN FRANCE,Médecin,SCHERPEREL Michel,07/03/2014,Repas,€41,,
ASPEN FRANCE,Médecin,SCHERPEREL Michel,03/02/2014,Repas,€24,,
ASTELLAS PHARMA,Médecin,BOUQUET YVES,04/02/2014,REPAS,€39,,
ASTELLAS PHARMA,Médecin,DHARANCY SEBASTIEN,11/12/2013,TRANSPORT,€100,,
ASTELLAS PHARMA,Médecin,DHARANCY SEBASTIEN,31/01/2013,REPAS,€18,,
ASTELLAS PHARMA,Médecin,DHARANCY SEBASTIEN,21/08/2013,TRANSPORT,€345,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,14/09/2012,HEBERGEMENT,€155,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,09/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,11/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,09/11/2012,HEBERGEMENT,€279,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,10/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,13/11/2012,HEBERGEMENT,€279,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,14/09/2012,REPAS,€53,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,13/09/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,12/11/2012,HEBERGEMENT,€279,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,13/09/2012,REPAS,€53,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,11/11/2012,HEBERGEMENT,€279,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,15/09/2012,REPAS,€53,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,14/09/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,12/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,10/11/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,14/09/2012,REPAS,€53,,
ASTELLAS PHARMA,Médecin,DHARANCY SÉBASTIEN,13/09/2012,REPAS,€53,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,18/01/2013,REPAS,€53,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,14/12/2012,HEBERGEMENT,€210,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,14/12/2012,REPAS,€60,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,14/12/2012,REPAS,€56,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,15/12/2012,REPAS,€12,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,14/12/2012,REPAS,€12,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,22/04/2014,REPAS,€39,,
ASTELLAS PHARMA,Médecin,KOENIG PHILIPPE,24/04/2014,REPAS,€21,,
ASTELLAS PHARMA,Médecin,LEROY OLIVIER,13/06/2012,TRANSPORT,€50,,
ASTELLAS PHARMA,Médecin,PETIT DOMINIQUE,17/12/2013,REPAS,€43,,
ASTELLAS PHARMA,Médecin,POISSONNIER GEORGES,04/02/2014,REPAS,€39,,
ASTRAZENECA,Médecin,BOSS VIRGINIE,26/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOSS Virginie,18/10/2013,Hébergement,€106,,
ASTRAZENECA,Médecin,BOSS Virginie,19/10/2013,Repas,€43,,
ASTRAZENECA,Médecin,BOSS Virginie,18/10/2013,Transport,€792,,
ASTRAZENECA,Médecin,BOSS VIRGINIE,25/02/2014,Repas,€43,,
ASTRAZENECA,Médecin,BOSS Virginie,18/10/2013,Repas,€60,,
ASTRAZENECA,Médecin,BOSS Virginie,18/10/2013,Hébergement,€106,,
ASTRAZENECA,Médecin,BOSS VIRGINIE,13/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,BOUQUET YVES,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,BURETTE LEFEBVRE FREDERIQUE,19/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,CORDOVA Enrique,29/11/2013,Repas,€146,,
ASTRAZENECA,Médecin,CORDOVA Enrique,29/11/2013,Transport,€150,,
ASTRAZENECA,Médecin,DEBONNE MATTHIEU,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEBONNE MATTHIEU,13/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEBONNE MATTHIEU,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,DEBONNE MATTHIEU,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DEBONNE MATTHIEU,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,KOZAK JEROME,14/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,LAMBLIN DEGROS CATHERINE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,21/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,08/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,19/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,20/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,18/03/2014,Repas,€57,,
ASTRAZENECA,Médecin,LEBRUN PHILIPPE,19/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,PETIT DOMINIQUE,14/01/2014,Repas,€43,,
ASTRAZENECA,Médecin,POISSONNIER GEORGES,23/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,POISSONNIER GEORGES,20/02/2014,Repas,€57,,
ASTRAZENECA,Médecin,PORICHE FREDERIC,04/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,PORICHE FREDERIC,12/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,SCHERPEREEL MICHEL,19/09/2013,Repas,€20,,
ASTRAZENECA,Médecin,TAREL JEAN LUC,26/09/2013,Repas,€57,,
