ASTRAZENECA,Médecin,MAHMOUDI NADIA,03/04/2014,Repas,€43,,
Bayer HealthCare SAS,Médecin,HAMADANI KAMAL,10/10/2013,Hospitalité,€45,,
BIOGARAN,Pharmacien,BOURLEAU FREDERIC,27/05/2014,REPAS,€21,,
BIOGARAN,Pharmacien,BOURLEAU VERONIQUE,27/05/2014,REPAS,€21,,
BIOGARAN,Pharmacien,HOUBART GUILENE,27/05/2014,REPAS,€21,,
BIOGARAN,Pharmacien,ROBINET FANNY,27/05/2014,REPAS,€21,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BODET DELPHINE,27/05/2014,REPAS,€21,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRESSENT AMANDINE,27/05/2014,REPAS,€21,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PIQUET VIRGINIE,27/05/2014,REPAS,€21,,
BRISTOL-MYERS SQUIBB,Pharmacien,BOURLEAU FREDERIC,02/10/2013,Repas,€22,,
BRISTOL-MYERS SQUIBB,Pharmacien,BOURLEAU FREDERIC,07/11/2013,Repas,€30,,
BRISTOL-MYERS SQUIBB,Pharmacien,BOURLEAU VERONIQUE,02/10/2013,Repas,€22,,
BRISTOL-MYERS SQUIBB,Pharmacien,BOURLEAU VERONIQUE,07/11/2013,Repas,€30,,
CONGRES COLLOQUES CONVENTIONS,Médecin,COLLGROS JEROME,08/02/2014,REPAS,€30,,
GIBAUD,Pharmacien,BOURLEAU FREDERIC,26/06/2014,Repas,€24,,
GIBAUD,Pharmacien,BOURLEAU VERONIQUE,26/06/2014,Repas,€24,,
GIBAUD,Pharmacien,ROBINET FANNY,26/06/2014,Repas,€24,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOCLET DELPHINE,26/06/2014,Repas,€24,,
GIBAUD,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PICQUET VIRGINE,26/06/2014,Repas,€24,,
ICOMED,Médecin,LECOUR J PAUL,27/03/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,LESTIENNE JACQUES MARIE,27/01/2014,Autre: [Enquête],€24,,
ICOMED,Médecin,LESTIENNE JACQUES MARIE,08/01/2013,Autre: [Enquête],€30,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,DUSEHU François,20/11/2012,Autre,€450,,
LABORATOIRE ATO-ZIZINE,Chirurgien-dentiste,DUSEHU François,08/11/2012,Cadeaux,€144,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAZOUNI ABDELMADJID,05/12/2013,REPAS,€35,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAZOUNI ABDELMADJID,05/12/2013,REPAS,€35,,
LABORATOIRES COLOPLAST,Infirmier,COTTEL PATRICK,08/10/2013,Repas,€22,,
LABORATOIRES COLOPLAST,Infirmier,ROOSE EDWIGE,08/10/2013,Repas,€22,,
LABORATOIRES CONVATEC,Infirmier,COTTEL PATRICK,10/12/2013,DEJEUNER,€18,,
LABORATOIRES CONVATEC,Infirmier,ROOSTE AMELINE,10/12/2013,DEJEUNER,€18,,
LABORATOIRES CONVATEC,Infirmier,ROOSTE EDWIGE,10/12/2013,DEJEUNER,€18,,
LABORATOIRES URGO,Infirmier,COTTEL PATRICK,15/10/2013,REPAS,€23,,
LABORATOIRES URGO,Infirmier,ROOSE AMELINE,15/10/2013,REPAS,€23,,
LABORATOIRES URGO,Infirmier,ROOSE EDWIGE,15/10/2013,REPAS,€23,,
LABORATOIRES URGO,Infirmier,VANDAELE NATHALIE,19/11/2013,REPAS,€12,,
LES LABORATOIRES SERVIER,Médecin,CALAMY FRANCOIS,06/02/2014,Repas,€56,,
NOVO NORDISK,Médecin,DAMI MOUNA,31/03/2014,REPAS,€60,,
NOVO NORDISK,Médecin,DAMI MOUNA,20/03/2014,REPAS,€160,,
OCP REPARTITION,Pharmacien,BOURLEAU FREDERIC,17/04/2014,REPAS,€16,,
OCP REPARTITION,Pharmacien,BOURLEAU FREDERIC,12/03/2014,REPAS,€12,,
OCP REPARTITION,Pharmacien,BOURLEAU FREDERIC,17/04/2014,REPAS,€16,,
OCP REPARTITION,Pharmacien,BOURLEAU VERONIQUE,01/04/2014,REPAS,€52,,
OCP REPARTITION,Pharmacien,BOURLEAU VERONIQUE,12/03/2014,REPAS,€30,,
OCP REPARTITION,Pharmacien,BOURLEAU VERONIQUE,17/04/2014,REPAS,€16,,
PIERRE FABRE MEDICAMENT,Médecin,CALAMY FRANCOIS,21/03/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LECOUR J PAUL,21/03/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,LESTIENNE JACQUES MARIE,21/03/2013,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Médecin,PLAISANT JEAN MAURICE,22/03/2012,Restauration,€57,,
PIERRE FABRE MEDICAMENT,Médecin,PLAISANT JEAN MAURICE,21/03/2013,Restauration,€50,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BOURLEAU FREDERIC,11/03/2014,REPAS,€20,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BOURLEAU FREDERIC,11/03/2014,REPAS,€20,,
ROCHE DIAGNOSTICS FRANCE,Pharmacien,BOURLEAU VERONIQUE,11/03/2014,REPAS,€20,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOUREL MARINE,11/03/2014,REPAS,€20,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAUX VIRGINIE,11/03/2014,REPAS,€20,,
ROCHE DIAGNOSTICS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRESSENT AMANDINE,11/03/2014,REPAS,€20,,
SIGVARIS,Pharmacien,BOURLEAU FREDERIC,10/04/2014,REPAS,€29,,
SIGVARIS,Pharmacien,BOURLEAU FREDERIC,22/05/2014,REPAS,€37,,
SIGVARIS,Pharmacien,BOURLEAU FREDERIC,22/05/2014,REPAS,€38,,
SIGVARIS,Pharmacien,BOURLEAU VERONIQUE,22/05/2014,REPAS,€37,,
SIGVARIS,Pharmacien,BOURLEAU VERONIQUE,10/04/2014,REPAS,€29,,
SIGVARIS,Pharmacien,BOURLEAU VERONIQUE,22/05/2014,REPAS,€37,,
SIGVARIS,Pharmacien,ROBINET FANNY,22/05/2014,REPAS,€37,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BOCLET DELPHINE,22/05/2014,REPAS,€37,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAUX VIRGINIE,22/05/2014,REPAS,€38,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAUX VIRGINIE,22/05/2014,REPAS,€37,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GRESSENT AMANDINE,22/05/2014,REPAS,€37,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PICQUET VIRGINIE,22/05/2014,REPAS,€37,,
SIGVARIS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PICQUET VIRGINIE,22/05/2014,REPAS,€38,,
TEVA SANTE SAS,Pharmacien,BOURLEAU FREDERIC,28/11/2013,REPAS,€60,,
TEVA SANTE SAS,Pharmacien,BOURLEAU VERONIQUE,28/11/2013,REPAS,€60,,
UCB Pharma SA,Médecin,LOUMI FAYCAL,17/06/2014,Repas,€37,,
