ABS-Bolton Medical,Médecin,BOUCULAT FRANCOIS,17/05/2013,REPAS,€19,,
ALLERGAN FRANCE,Médecin,BERQUET SERGE,27/09/2013,REPAS,€40,,
ALLERGAN FRANCE,Médecin,PISSAVIN BERQUET CHRISTINE,27/09/2013,REPAS,€40,,
ASTRAZENECA,Médecin,EMILIEN HERVAIS,11/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,EMILIEN HERVAIS,03/07/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,BERQUET SERGE,02/07/2013,Hospitalité,€60,,
Bayer HealthCare SAS,Médecin,EMILIEN HERVAIS,27/03/2014,Hospitalité,€46,,
Bayer HealthCare SAS,Médecin,PISSAVIN BERQUET CHRISTINE,02/07/2013,Hospitalité,€60,,
BRISTOL-MYERS SQUIBB,Médecin,DUGAY MARLENE,13/05/2014,Repas,€20,,
BRISTOL-MYERS SQUIBB,Médecin,DUGAY MARLENE,20/02/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,EMILIEN HERVAIS,26/06/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,EMILIEN HERVAIS,20/02/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LE GALL ANNIE,20/02/2014,Repas,€60,,
BRISTOL-MYERS SQUIBB,Médecin,LE GALL ANNIE,13/05/2014,Repas,€20,,
colgate palmolive,Chirurgien-dentiste,BOUDON JEREMIE,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,BOURDEAU COLLET AGNES,04/02/2014,Dons de materiel,€16,,
colgate palmolive,Chirurgien-dentiste,NOURRISSON DAVID,04/02/2014,Dons de materiel,€16,,
COSMETIQUE ACTIVE FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CAUSSE PAULINE,28/11/2013,REPAS,€44,,
Essilor,Opticien-lunetier,Bressan Julien,03/10/2013,Autre,€163,,
FERRING SAS,Médecin,GENES JULIEN,04/02/2014,Repas,€15,,
FERRING SAS,Médecin,GENES JULIEN,04/02/2014,Repas,€15,,
FERRING SAS,Médecin,L HOPITAL FRANCOIS,17/04/2014,Repas,€60,,
FERRING SAS,Médecin,MICHALET SCHOENHENZ VERONIQUE,17/04/2014,Repas,€60,,
horus pharma,Médecin,AUDOUIN BARTHELAT Claire,04/06/2014,Repas,€55,,
horus pharma,Médecin,PISSAVIN BERQUET Christine,04/06/2014,Repas,€55,,
ICOMED,Chirurgien-dentiste,BOURDEAU COLLET AGNES,12/04/2013,Autre: [Enquête],€14,,
ICOMED,Chirurgien-dentiste,NOURRISSON DAVID,08/04/2013,Autre: [Enquête],€14,,
ICOMED,Médecin,AUDOUIN BARTHELAT CLAIRE,15/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BERQUET SERGE,30/07/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BONJOUR PASCAL,05/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BONJOUR PASCAL,26/02/2013,Autre: [Enquête],€32,,
ICOMED,Médecin,DUGAY MARLENE,04/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,HEMERET ANTOINE,24/02/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,PISSAVIN BERQUET CHRISTINE,31/05/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,PODOLAK CHRISTINE,26/02/2013,Autre: [Enquête],€17,,
JANSSEN-CILAG,Médecin,CHENU GUILLAUME,30/05/2013,REPAS,€29,,
JANSSEN-CILAG,Médecin,FAVIER EMILIE,03/04/2014,REPAS,€23,,
