ALK-Abelló,Médecin,GIGNOUX MATEJKA PASCALE,06/06/2012,AUTRE : [RESTAURATION],€58,,
CONGRES COLLOQUES CONVENTIONS,Médecin,GIGNOUX MATEJKA PASCALE,16/11/2013,REPAS,€30,,
DAIICHI SANKYO FRANCE SAS,Médecin,PEREZ ISABELLE,15/05/2014,Repas,€53,,
ICOMED,Médecin,BARTHES GUY,10/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,BARTHES GUY,07/01/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIGNOUX MATEJKA PASCALE,28/06/2012,Hospitalité,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIGNOUX MATEJKA PASCALE,20/03/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIGNOUX MATEJKA PASCALE,15/05/2014,REPAS,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIGNOUX MATEJKA PASCALE,11/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GIGNOUX MATEJKA PASCALE,19/02/2014,REPAS,€45,,
MYLAN SAS,Pharmacien,COULOUGNON PATRICE,19/06/2014,REPAS,€50,,
PIERRE FABRE MEDICAMENT,Médecin,BARTHES GUY,27/09/2012,Restauration,€50,,
PIERRE FABRE MEDICAMENT,Pharmacien,COULOUGNON PATRICE,27/09/2012,Restauration,€50,,
