ANTHOGYR,Médecin,DEVILLE Rachel,28/11/2013,Repas ou Hébèrgement,€46,,
ASTELLAS PHARMA,Etudiant,BOTAS PHILIPPE,04/07/2013,REPAS,€40,,
ASTRAZENECA,Médecin,FRANCES PIERRE,08/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FRANCES PAN MEI CHIH,08/10/2013,Repas,€57,,
BIOCODEX,Médecin,PEREZ SISCAR MARIE ROSE,19/02/2014,REPAS,€55,,
BIOCODEX,Médecin,PEREZ SISCAR MARIE ROSE,08/11/2013,REPAS,€55,,
BIOCODEX,Médecin,PEREZ SISCAR MARIE ROSE,18/06/2014,REPAS,€60,,
BIOCODEX,Médecin,PEREZ SISCAR MARIE ROSE,21/05/2014,REPAS,€60,,
BIOCODEX,Médecin,PEREZ SISCAR MARIE ROSE,18/09/2013,REPAS,€55,,
BOEHRINGER INGELHEIM FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RODRIGUEZ FREDERIQUE,20/09/2013,HOSPITALITE,€29,,
BOIRON,Médecin,BECQUE CLAUDINE,24/09/2013,[REPAS],€26,,
BOIRON,Médecin,BECQUE CLAUDINE,27/05/2014,[REPAS],€28,,
BRISTOL-MYERS SQUIBB,Médecin,BOUIX THIERRY,05/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,BOUIX THIERRY,31/10/2013,Repas,€33,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCES PIERRE,04/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,FRANCES PAN MEI CHIH,04/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,MASLARSKI ROMAN,04/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,MASLARSKI ROMAN,05/06/2014,Repas,€52,,
BRISTOL-MYERS SQUIBB,Médecin,MASLARSKI ROMAN,23/01/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,MASLARSKI ROMAN,15/05/2014,Repas,€55,,
CONGRES COLLOQUES CONVENTIONS,Médecin,MASLARSKI ROMAN,16/11/2013,REPAS,€30,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,GENTET-BEC STEPHANIE,07/04/2014,REPAS,€33,,
DAIICHI SANKYO FRANCE SAS,Médecin,BOUIX THIERRY,22/04/2014,Repas,€22,,
GILEAD SCIENCES,Infirmier,FERNANDEZ PILAR,25/03/2014,REPAS,€35,,
GILEAD SCIENCES,Infirmier,MARTRE CELINE,20/05/2014,REPAS,€35,,
GILEAD SCIENCES,Infirmier,SIMO CHRISTINE,25/03/2014,REPAS,€35,,
GUERBET France,Médecin,LACOMBE CELINE,30/09/2013,TRANSPORT,€300,,
GUERBET France,Médecin,LACOMBE CELINE,30/09/2013,HEBERGEMENT,€645,,
ICOMED,Médecin,FRANCES PIERRE,23/01/2014,Autre: [Enquête],€15,,
ICOMED,Médecin,FRANCES PAN MEI CHIH,18/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,MAURIN BERNARD PAULINE,20/12/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,FRANCES PIERRE,21/05/2013,REPAS,€45,,
JANSSEN-CILAG,Médecin,FRANCES PAN MEI CHIH,21/05/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCES PIERRE,09/02/2012,Hospitalité,€50,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FRANCES PIERRE,13/05/2014,REPAS,€45,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BOUIX THIERRY,09/12/2013,Repas,€25,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FRANCES PIERRE,13/05/2014,Repas,€29,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FRANCES PAN MEI CHIH,13/05/2014,Repas,€29,,
Labvoratoire CHAUVIN,Pharmacien,GENTET-BEC STEPHANIE,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Pharmacien,REMBLIERE OLIVIER,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Pharmacien,ROCA SAUVEUR,11/06/2014,REPAS,€14,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CARBONES CECILE,11/06/2014,REPAS,€14,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DELVALLE NATHALIE,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DORGANS MURIEL,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GUINOT ANNE,11/06/2014,REPAS,€14,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MONTE VERONIQUE,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PY CATHERINE,02/06/2014,REPAS,€20,,
Labvoratoire CHAUVIN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,RODRIGUEZ FREDERIQUE,11/06/2014,REPAS,€14,,
LES LABORATOIRES SERVIER,Médecin,FRANCES PIERRE,19/11/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,FRANCES-PAN MEI-CHIEI,19/11/2013,Repas,€60,,
MEDEXACT,Médecin,FRANCES PAN MEI CHIH,28/05/2013,Autre: [Enquête],€19,,
MENARINI FRANCE,Médecin,FRANCES PIERRE,25/02/2014,Autre : [Restauration],€55,,
MENARINI FRANCE,Médecin,FRANCES PIERRE,05/12/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,FRANCES PAN MEI CHIH,05/12/2013,REPAS,€50,,
MENARINI FRANCE,Médecin,MASLARSKI ROMAN,08/10/2013,REPAS,€50,,
MSD France,Médecin,MASLARSKI ROMAN,13/05/2013,REPAS,€20,,
MUNDIPHARMA,Etudiant,PREVOST SARAH,12/12/2013,REPAS,€55,,
MUNDIPHARMA,Médecin,FRANCES PIERRE,26/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,FRANCES PIERRE,12/12/2013,REPAS,€55,,
MUNDIPHARMA,Médecin,FRANCES PIERRE,25/09/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,FRANCES PAN MEI CHIH,25/09/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,FRANCES PAN MEI CHIH,26/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,26/06/2014,REPAS,€55,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,12/12/2013,REPAS,€55,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,07/02/2014,HOSPITALITE REUNION PROFESSIONNELLE,€255,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,14/03/2014,HOSPITALITE REUNION PROFESSIONNELLE,€265,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,25/09/2013,REPAS,€40,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,04/12/2013,HOSPITALITE,€46,,
MUNDIPHARMA,Médecin,MASLARSKI ROMAN,02/07/2013,REPAS,€55,,
NOVARTIS PHARMA SAS,Médecin,FRANCES PIERRE,21/11/2013,Repas,€45,,
NOVARTIS PHARMA SAS,Médecin,FRANCES PAN MEI CHIH,21/11/2013,Repas,€45,,
PAUL HARTMANN SA,Médecin,MASLARCKI ROMAN,17/04/2014,Repas,€44,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PIERRE,28/08/2012,Restauration,€27,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PIERRE,25/04/2013,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PIERRE,04/12/2012,Restauration,€23,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PAN MEI CHIH,25/04/2013,Restauration,€37,,
PIERRE FABRE MEDICAMENT,Médecin,FRANCES PAN MEI CHIH,04/12/2012,Restauration,€23,,
