ASTRAZENECA,Médecin,MAURER CHRISTIAN,10/10/2013,Repas,€57,,
colgate palmolive,Chirurgien-dentiste,HAUSS VERONIQUE,04/02/2014,Dons de materiel,€16,,
ICOMED,Médecin,MAURER CHRISTIAN,07/11/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,MAURER CHRISTIAN,04/12/2013,Autre: [Enquête],€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MAURER CHRISTIAN,25/10/2012,Hospitalité,€60,,
MSD France,Médecin,GRANDJEAN PATRICK,13/02/2014,REPAS,€46,,
MSD France,Médecin,GRANDJEAN PATRICK,07/06/2012,REPAS,€40,,
MSD France,Médecin,GRANDJEAN PATRICK,26/06/2014,REPAS,€43,,
MSD France,Médecin,MAURER CHRISTIAN,15/11/2012,REPAS,€55,,
MSD France,Médecin,MAURER CHRISTIAN,07/06/2012,HOSPITALITE,€60,,
MSD France,Médecin,MAURER CHRISTIAN,15/11/2012,REPAS,€55,,
MSD France,Médecin,MAURER CHRISTIAN,06/06/2012,HOSPITALITE,€65,,
MSD France,Médecin,MAURER CHRISTIAN,11/10/2012,HOSPITALITE,€60,,
MUNDIPHARMA,Médecin,MAURER CHRISTIAN,21/03/2013,HOSPITALITE REUNION PROFESSIONNELLE,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MAURER CHRISTIAN,23/05/2012,Frais de dÃƒÂ©placement,€222,,
PIERRE FABRE MEDICAMENT,Médecin,MAURER CHRISTIAN,06/12/2012,Restauration,€55,,
PIERRE FABRE MEDICAMENT,Médecin,MAURER CHRISTIAN,30/05/2013,Restauration,€47,,
PIERRE FABRE MEDICAMENT,Médecin,MAURER CHRISTIAN,04/04/2013,Restauration,€56,,
RESEARCH NOW SAS,Médecin,MAURER Christian,15/11/2013,enquête,€17,,
