Bayer HealthCare SAS,Médecin,MOULLE CHRISTIAN,26/06/2014,Hospitalité,€58,,
BIOGARAN,Pharmacien,PENET PATRICE,14/03/2014,REPAS,€32,,
BIOGARAN,Pharmacien,PENET PATRICE,23/01/2014,REPAS,€29,,
BIOGARAN,Pharmacien,PENET VALERIE,14/03/2014,REPAS,€32,,
BIOGARAN,Pharmacien,PENET VALERIE,23/01/2014,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUILLET LAETITIA,23/01/2014,REPAS,€29,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BROUILLET LATITIA,14/03/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DAUVERGNE PAULINE,14/03/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN ELODIE,14/03/2014,REPAS,€32,,
BIOGARAN,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MARTIN ELODIE,23/01/2014,REPAS,€29,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,PICHARD FABIENNE,26/11/2013,HOSPITALITE,€54,,
GLOBAL D,Chirurgien-dentiste,PAUTONNIER ADRIEN,15/05/2014,REPAS,€22,,
GLOBAL D,Chirurgien-dentiste,PAUTONNIER ADRIEN,07/02/2013,REPAS,€18,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,PICHON JEAN,16/04/2014,REPAS,€70,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,PICHON J JACQUES,18/06/2014,REPAS,€40,,
HENRY SCHEIN FRANCE SCA,Chirurgien-dentiste,PICHON J JACQUES,19/02/2014,REPAS,€48,,
ICOMED,Médecin,ESPOSITO FRANCOIS,11/12/2013,Autre: [Enquête],€32,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GARNON FRANCOISE,02/04/2014,REPAS,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MACHET DAMIZET RAPHAELE,10/10/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,MOULLE CHRISTIAN,10/10/2013,Repas,€60,,
LABORATOIRES CONVATEC,Infirmier,GUINET MURIEL,10/10/2013,DINER,€13,,
LABORATOIRES CONVATEC,Infirmier,PERCHE MARTINE,10/10/2013,DINER,€13,,
Laboratoires Grünenthal SAS,Médecin,GARNON FRANCOISE,08/04/2014,REPAS,€55,,
LABORATOIRES MAYOLY SPINDLER,Médecin,MAILY Patrice,16/01/2014,HOSPITALITE,€36,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,PICHARD FABIENNE,19/09/2013,INVITATIONS,€20,,
LFB BIOMEDICAMENTS,Médecin,MAILY PATRICE,05/09/2013,Repas,€28,,
LFB BIOMEDICAMENTS,Médecin,MOULLE CHRISTIAN,05/09/2013,Repas,€28,,
MEDEXACT,Médecin,MILIANI EL HADJ,11/03/2013,Autre: [Enquête],€30,,
MENARINI FRANCE,Médecin,GARNON FRANÇOISE,22/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,MOULLE CHRISTIAN,22/01/2014,Autre : [Restauration],€25,,
MENARINI FRANCE,Médecin,MOULLE CHRISTIAN,18/12/2013,AUTRE : RNT,€53,,
MSD France,Médecin,GARNON FRANCOISE,09/04/2014,REPAS,€26,,
MSD France,Médecin,GARNON FRANCOISE,18/06/2014,REPAS,€34,,
MSD France,Médecin,GARNON FRANCOISE,13/03/2014,REPAS,€31,,
MSD France,Médecin,GARNON FRANCOISE,15/04/2014,REPAS,€60,,
MSD France,Médecin,MOULLE CHRISTIAN,18/06/2014,REPAS,€34,,
MSD France,Médecin,MOULLE CHRISTIAN,12/03/2014,REPAS,€34,,
MSD France,Médecin,MOULLE CHRISTIAN,09/04/2014,REPAS,€26,,
NOVARTIS PHARMA SAS,Médecin,MACHET DAMIZET RAPHAELE,05/06/2014,Repas,€14,,
PIERRE FABRE MEDICAMENT,Médecin,MOULLE CHRISTIAN,19/12/2012,Restauration,€32,,
PIERRE FABRE MEDICAMENT,Médecin,MOULLE CHRISTIAN,19/12/2012,Restauration,€32,,
SANOFI AVENTIS FRANCE,Médecin,GARNON FRANCOISE,20/05/2014,Repas,€54,,
SANOFI AVENTIS FRANCE,Pharmacien,TROUINARD FRANCOIS XAVIER,15/11/2013,Restauration,€12,,
THERABEL LUCIEN PHARMA,Médecin,BALLY GUILLAUME,05/06/2014,REPAS,€50,,
