ABBOTT FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BRUNET LAETITIA,06/02/2014,REPAS,€28,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,13/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,14/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,12/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,11/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,09/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,COURTEMANCHE BERGERON CHANTAL,26/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,JOUSHOMME PATRICK,14/11/2013,Repas,€57,,
Bayer HealthCare SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,23/01/2014,Hospitalité,€61,,
Bayer HealthCare SAS,Médecin,COURTEMANCHE BERGERON CHANTAL,05/09/2013,Hospitalité,€55,,
Bayer HealthCare SAS,Pharmacien,FRISON DESRAMAUX MARINE,10/12/2013,Hospitalité,€24,,
BOIRON,Médecin,BERGERON ALAIN,10/12/2013,[HOSPITALITE],€81,,
DJO France SAS,Pharmacien,LERIVEREND ZZ,20/06/2012,Repas,€35,,
ICOMED,Médecin,GROSSE CHRISTIAN,11/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,GROSSE CHRISTIAN,31/01/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,THOMAS MAX MICHEL,27/11/2013,Autre: [Enquête],€30,,
ICOMED,Pharmacien,GAUTIER SYLVAIN,03/06/2014,Autre: [Enquête],€27,,
JANSSEN-CILAG,Médecin,DUFRENOIS CORINNE,16/04/2014,REPAS,€25,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARO JEAN YVES,05/12/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CARO JEAN YVES,06/03/2014,REPAS,€54,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,20/12/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,18/06/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,05/12/2013,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,20/06/2013,Hospitalite,€59,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,19/04/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,03/05/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,27/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,COURTEMANCHE BERGERON CHANTAL,20/09/2012,Hospitalité,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GROSSE CHRISTIAN,18/02/2014,REPAS,€60,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GROSSE CHRISTIAN,05/12/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GROSSE CHRISTIAN,12/06/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUSHOMME PATRICK,05/12/2013,REPAS,€39,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUSHOMME PATRICK,12/06/2014,REPAS,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JOUSHOMME PATRICK,06/03/2014,REPAS,€54,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COURTEMANCHE BERGERON CHANTAL,19/12/2013,Repas,€58,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,COURTEMANCHE BERGERON CHANTAL,24/04/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,GROSSE CHRISTIAN,26/09/2013,Repas,€35,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,JOUSHOMME PATRICK,26/09/2013,Repas,€35,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,10/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,27/03/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,10/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,BOULOM CHARLES,28/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EPP VERONIQUE,20/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EPP VERONIQUE,10/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EPP VERONIQUE,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EPP VERONIQUE,28/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,EPP VERONIQUE,26/05/2014,Repas,€67,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,27/03/2014,Repas,€55,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,10/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,28/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,20/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JULIEN VERONIQUE,26/05/2014,Repas,€67,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIGNAN CARINE,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIGNAN CARINE,26/05/2014,Repas,€67,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIGNAN CARINE,10/07/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIGNAN CARINE,20/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MAIGNAN CARINE,28/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TANIERE VALERIE,20/02/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TANIERE VALERIE,28/04/2014,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TANIERE VALERIE,26/05/2014,Repas,€67,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TANIERE VALERIE,20/11/2013,Repas,€60,,
LABORATOIRES BOUCHARA - RECORDATI,Préparateur en pharmacie et préparateur en pharmacie hospitalière,TANIERE VALERIE,10/07/2013,Repas,€60,,
LABORATOIRES COLOPLAST,Infirmier,LEGENDRE MAGGY,05/12/2013,Repas,€26,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,KHLAFA KARIMA,20/05/2014,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,KHLAFA KARIMA,13/06/2013,INVITATIONS,€20,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,LEROI STEPHANIE,07/06/2013,INVITATIONS,€20,,
