ABBOTT PRODUCTS SAS,Médecin,LAMOME Brigitte,28/11/2013,REPAS,€51,,
ALFA WASSERMANN PHARMA,Médecin,GIRAUDEAU BERNARD,08/04/2014,REPAS,€50,,
ASTRAZENECA,Médecin,DEBENEST VENIN PASCALE,29/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,DUCLOS FRANCK,30/01/2014,Repas,€57,,
ASTRAZENECA,Médecin,GIRAUDEAU BERNARD,23/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,GIRAUDEAU BERNARD,03/04/2014,Repas,€57,,
ASTRAZENECA,Médecin,JUNQUA ARNAUD,05/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,JUNQUA ARNAUD,02/07/2013,Repas,€43,,
ASTRAZENECA,Médecin,LAMOME BRIGITTE,12/09/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE HENAFF MILLET JACQUELINE,12/02/2014,Repas,€57,,
Bayer HealthCare SAS,Pharmacien,ISTIN Sophie,30/06/2014,hospitalité,€11,,
Bayer HealthCare SAS,Pharmacien,PRISSET Veronique,30/06/2014,hospitalité,€11,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAURENCE Emmanuelle,30/06/2014,hospitalité,€11,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LOURDEAU Marie paule,30/06/2014,hospitalité,€11,,
Bayer HealthCare SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,REFIN Sylvie,30/06/2014,hospitalité,€11,,
BIOCODEX,Médecin,GIRAUDEAU BERNARD,20/11/2013,REPAS,€50,,
BIOCODEX,Médecin,GIRAUDEAU BERNARD,10/09/2013,REPAS,€57,,
BIOCODEX,Médecin,GIRAUDEAU BERNARD,15/01/2014,REPAS,€56,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,11/10/2013,HEBERGEMENT,€172,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,12/10/2013,HEBERGEMENT,€172,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,10/10/2013,HEBERGEMENT,€172,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,11/10/2013,REPAS,€60,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,10/10/2013,REPAS,€50,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,12/10/2013,REPAS,€50,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,12/10/2013,HEBERGEMENT,€172,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,12/10/2013,REPAS,€50,,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,09/10/2013,TRANSPORT,"€1,416",,
BIOTRONIK FRANCE SAS,Médecin,LE GAL MAGALIE,11/10/2013,HEBERGEMENT,€172,,
BOIRON,Médecin,DEBENEST VENIN PASCALE,19/02/2014,[REPAS],€45,,
BRISTOL-MYERS SQUIBB,Médecin,BOUCHAND PHILIPPE,05/06/2014,Repas,€55,,
BRISTOL-MYERS SQUIBB,Médecin,DEVALUEZ FRANCOIS XAVIER,15/10/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,DEVALUEZ FRANCOIS XAVIER,06/02/2014,Repas,€42,,
