ABBOTT PRODUCTS SAS,Médecin,RAGOT Francois,07/11/2013,REPAS,€38,,
ASTELLAS PHARMA,Médecin,FRADET AURELIE,21/03/2013,REPAS,€53,,
ASTELLAS PHARMA,Médecin,FURELAU MEYNIER MARIE PAULE,21/03/2013,REPAS,€53,,
ASTELLAS PHARMA,Médecin,LE FLAHEC XAVIER,21/03/2013,REPAS,€53,,
ASTELLAS PHARMA,Médecin,OULD OMAR ALEXANDRA,12/02/2013,REPAS,€26,,
ASTRAZENECA,Médecin,DELAGE PIERRE DAVID,13/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,DELAGE PIERRE DAVID,20/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,DELAGE PIERRE DAVID,11/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DELAGE PIERRE DAVID,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DELAGE POMMIER MAGALI,13/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,DELAGE POMMIER MAGALI,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DELAGE POMMIER MAGALI,11/04/2014,Repas,€43,,
ASTRAZENECA,Médecin,DENIZOT JOSEPH,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,FRADET AURELIE,05/06/2014,Repas,€57,,
ASTRAZENECA,Médecin,FRADET AURELIE,22/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,FURELAU MEYNIER MARIE PAULE,10/10/2013,Repas,€57,,
ASTRAZENECA,Médecin,FURELAU MEYNIER MARIE PAULE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,GARNIER SANDRINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Médecin,LE FLAHEC XAVIER,13/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,LE FLAHEC XAVIER,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,LE FLAHEC XAVIER,13/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,RAGOT FRANCOIS,19/09/2013,Repas,€43,,
ASTRAZENECA,Médecin,RAGOT FRANCOIS,24/10/2013,Repas,€43,,
ASTRAZENECA,Pharmacien,CHILLOUX GUILAINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,DENDRELL BEATRICE,28/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,PENICAUT MARIE CHRISTINE,28/11/2013,Repas,€57,,
ASTRAZENECA,Pharmacien,PENICAUT BECHADE MARIE CHRISTINE,28/11/2013,Repas,€57,,
Becton Dickinson France SAS,Pharmacien,MONAQUE VALERIE,22/05/2014,REPAS,€27,,
Becton Dickinson France SAS,Pharmacien,PENICAUT MARIE CHRISTINE,22/05/2014,REPAS,€27,,
Becton Dickinson France SAS,Préparateur en pharmacie et préparateur en pharmacie hospitalière,PRADEAU ODILE,22/05/2014,REPAS,€27,,
BIOGARAN,Pharmacien,PENICAUT BECHADE MARIE CHRISTINE,03/12/2013,REPAS,€35,,
BOEHRINGER INGELHEIM FRANCE,Médecin,RAGOT FRANCOIS,05/12/2013,HOSPITALITE,€35,,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,JARRY JOCELYNE,22/05/2014,[AUTRE],€30,,
BRISTOL-MYERS SQUIBB,Médecin,DELAGE PIERRE DAVID,24/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,DELAGE POMMIER MAGALI,24/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LE FLAHEC XAVIER,06/06/2014,Repas,€45,,
BRISTOL-MYERS SQUIBB,Médecin,LE FLAHEC XAVIER,24/01/2014,Repas,€43,,
BRISTOL-MYERS SQUIBB,Médecin,LE FLAHEC XAVIER,05/07/2013,Repas,€43,,
BRISTOL-MYERS SQUIBB,Pharmacien,DESMOULIN DANIEL,06/06/2014,Repas,€45,,
BRISTOL-MYERS SQUIBB,Pharmacien,FIQUET AUDREY,06/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,OULD OMAR ALEXANDRA,25/09/2013,Repas,€50,,
ICOMED,Médecin,DELAGE PIERRE DAVID,24/12/2013,Autre: [Enquête],€28,,
ICOMED,Médecin,DELAGE PIERRE DAVID,24/01/2013,Autre: [Enquête],€26,,
ICOMED,Médecin,DELAGE POMMIER MAGALI,30/01/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DELAGE POMMIER MAGALI,16/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LAROUMAGNE PAUL YVES,13/12/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,LE FLAHEC XAVIER,21/01/2014,Autre: [Enquête],€26,,
ICOMED,Médecin,RAGOT FRANCOIS,21/01/2014,Autre: [Enquête],€25,,
ICOMED,Médecin,RAGOT FRANCOIS,15/03/2013,Autre: [Enquête],€30,,
JANSSEN-CILAG,Médecin,GARNIER SANDRINE,09/10/2013,REPAS,€53,,
JANSSEN-CILAG,Médecin,OULD OMAR ALEXANDRA,04/06/2013,REPAS,€30,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAGE PIERRE DAVID,16/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAGE PIERRE DAVID,23/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAGE POMMIER MAGALI,23/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DELAGE POMMIER MAGALI,16/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GARNIER SANDRINE,13/06/2013,Hospitalite,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FLAHEC XAVIER,27/09/2013,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FLAHEC XAVIER,16/05/2014,REPAS,€45,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,LE FLAHEC XAVIER,23/11/2012,Hospitalité,€43,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,RAGOT FRANCOIS,22/08/2013,REPAS,€45,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE SAINT ROCH,17/12/2013,CADEAUX,€12,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FRADET AURELIE,23/01/2014,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,FURELAU MEYNIER MARIE PAULE,23/01/2014,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,LELEU JEAN PHILIPPE,23/01/2014,Repas,€37,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,OULD OMAR ALEXANDRA,17/09/2013,Repas,€29,,
Laboratoires Expanscience,Médecin,DELAGE PIERRE DAVID,19/07/2013,Repas,€45,,
Laboratoires Expanscience,Médecin,DELAGE PIERRE DAVID,19/07/2013,Repas,€45,,
Laboratoires Grünenthal SAS,Médecin,LAROUMAGNE PAUL YVES,21/02/2014,REPAS,€45,,
Laboratoires Grünenthal SAS,Médecin,LAROUMAGNE PAUL YVES,02/10/2013,REPAS,€45,,
Laboratoires Leurquin Mediolanum,Médecin,FURELAU MEYNIER MARIE PAULE,07/11/2013,AUTRE,€30,,
Laboratoires Leurquin Mediolanum,Médecin,LE FLAHEC XAVIER,12/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,LE FLAHEC XAVIER,22/05/2014,AUTRE,€15,,
LABORATOIRES MAYOLY SPINDLER,Médecin,FURELAU MEYNIER Marie Paule,13/02/2014,HOSPITALITE,€50,,
LABORATOIRES MAYOLY SPINDLER,Médecin,RAGOT FRANCOIS,01/07/2013,HOSPITALITE,€34,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,MAUQUE VALERIE,30/05/2013,INVITATIONS,€20,,
LABORATOIRES URGO,Médecin,DELAGE PIERRE-DAVID,08/11/2013,REPAS,€50,,
LABORATOIRES URGO,Médecin,LE FLAHEC XAVIER,08/11/2013,REPAS,€50,,
LABORATOIRES URGO,Médecin,POMMIER-DELAGE MAGALI,08/11/2013,REPAS,€50,,
LES LABORATOIRES SERVIER,Médecin,DELAGE PIERRE DAVID,13/05/2014,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,DELAGE POMMIER MAGALI,13/05/2014,Repas,€52,,
LES LABORATOIRES SERVIER,Médecin,FURELAU MEYNIER MARIE PAULE,04/02/2014,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,FURELAU MEYNIER MARIE PAULE,01/10/2013,Repas,€55,,
LES LABORATOIRES SERVIER,Médecin,GARNIER SANDRINE,03/12/2013,Repas,€50,,
LES LABORATOIRES SERVIER,Médecin,GARNIER SANDRINE,04/02/2014,Repas,€50,,
LUNDBECK SAS,Médecin,RAGOT FRANCOIS,05/09/2013,AUTRE : FRAIS DE RESTAURATION / RP,€42,,
MEDEXACT,Médecin,LAROUMAGNE PAUL YVES,28/05/2013,Autre: [Enquête],€16,,
MSD France,Médecin,DELAGE PIERRE DAVID,14/02/2014,REPAS,€40,,
MSD France,Médecin,DELAGE PIERRE DAVID,04/07/2013,REPAS,€62,,
MSD France,Médecin,DELAGE POMMIER MAGALI,04/07/2013,REPAS,€62,,
MSD France,Médecin,DELAGE POMMIER MAGALI,14/02/2014,REPAS,€40,,
MSD France,Médecin,LE FLAHEC XAVIER,02/05/2013,HOSPITALITÉ,€57,,
MSD France,Médecin,LE FLAHEC XAVIER,07/02/2014,REPAS,€40,,
MSD France,Médecin,TOURNET AGNES,28/06/2012,REPAS,€37,,
MUNDIPHARMA,Médecin,FURELAU MEYNIER MARIE PAULE,27/03/2014,HOSPITALITE REUNION PROFESSIONNELLE,€64,,
MUNDIPHARMA,Médecin,LE FLAHEC XAVIER,05/04/2014,HOSPITALITE REUNION PROFESSIONNELLE,€380,,
NOVARTIS PHARMA SAS,Médecin,FURELAU MEYNIER MARIE PAULE,11/03/2014,Autre : [Participation Evenement Scientifique],€55,,
NOVARTIS PHARMA SAS,Médecin,RAGOT FRANCOIS,03/10/2013,Repas,€44,,
NOVO NORDISK,Médecin,TOURNET AGNES,03/03/2014,REPAS,€47,,
NOVO NORDISK,Médecin,TOURNET AGNES,19/12/2013,REPAS,€29,,
NOVO NORDISK,Médecin,TOURNET AGNES,26/09/2013,REPAS,€28,,
NOVO NORDISK,Médecin,TOURNET AGNES,18/12/2013,REPAS,€45,,
NOVO NORDISK,Médecin,TOURNET AGNES,03/03/2014,REPAS,€47,,
NOVO NORDISK,Médecin,TOURNET AGNES,29/11/2013,REPAS,€19,,
