BOIRON,Pharmacien,PICHEREAU LYLIANE,06/11/2013,[REPAS],€20,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DARSY PAULINE,28/01/2014,REPAS,€62,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,JAMOIS ARIANE,28/01/2014,REPAS,€62,,
gn hearing sas,Prothésiste et orthésiste pour l’appareillage des personnes handicapées,CHANTEREAU GUILLAUME,14/09/2013,Repas,€28,,
ICOMED,Chirurgien-dentiste,LABOISSE ELISABETH,09/07/2013,Autre: [Enquête],€11,,
ICOMED,Médecin,BOISSEL PHILIPPE,22/11/2013,Autre: [Enquête],€30,,
ICOMED,Médecin,DANIAULT JEAN FRANCOIS,29/11/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,DANIAULT JEAN FRANCOIS,07/01/2013,Autre: [Enquête],€25,,
ICOMED,Médecin,FERRANDI SYLVIE,02/12/2013,Autre: [Enquête],€29,,
ICOMED,Médecin,GABRIEL HAIK,05/12/2013,Autre: [Enquête],€31,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRANDI SYLVIE,29/05/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,FERRANDI SYLVIE,18/12/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUET CAROLINE,18/12/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,JACQUET CAROLINE,29/05/2012,Hospitalité,€48,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRINKL AUGUSTE,18/12/2012,Hospitalité,€42,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TRINKL AUGUSTE,29/05/2012,Hospitalité,€48,,
Laboratoire Innothera,Autres types de personne morale,PHARMACIE DE NOZAY,03/04/2014,CADEAUX,€12,,
Laboratoires Leurquin Mediolanum,Médecin,GABRIEL HAIK,24/12/2013,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,GABRIEL HAIK,11/02/2014,AUTRE,€15,,
Laboratoires Leurquin Mediolanum,Médecin,GABRIEL HAIK,08/10/2013,AUTRE,€15,,
LABORATOIRES OMEGA PHARMA FRANCE,Pharmacien,JAMOIS ARIANE,05/06/2014,INVITATIONS,€20,,
LES LABORATOIRES SERVIER,Médecin,BECOURT MARTINE,12/12/2013,Repas,€60,,
LES LABORATOIRES SERVIER,Médecin,BOISSEL PHILIPPE,12/12/2013,Repas,€60,,
MENARINI FRANCE,Infirmier,LOTA CHARLINE,22/11/2013,AUTRE : INSCRIPTION CONGRES,€80,,
MENARINI FRANCE,Médecin,DE BAILLIENCOURT ANNE CLAIRE,19/11/2013,AUTRE : RNT,€37,,
MENARINI FRANCE,Médecin,FERRANDI SYLVIE,19/11/2013,AUTRE : RNT,€37,,
MENARINI FRANCE,Médecin,JACQUET CAROLINE,19/11/2013,AUTRE : RNT,€37,,
MERCK SERONO,Médecin,COUTINHO ANGELA,08/02/2014,REPAS,€44,,
MERCK SERONO,Médecin,COUTINHO ANGELA,08/02/2014,REPAS,€10,,
MSD France,Médecin,FERRANDI SYLVIE,27/03/2012,REPAS,€29,,
MSD France,Médecin,JACQUET CAROLINE,10/07/2012,REPAS,€37,,
MSD France,Médecin,JACQUET CAROLINE,27/03/2012,REPAS,€29,,
Pierre Fabre Dermo-Cosmétique,Pharmacien,JAMOIS ALEXANDRE,11/12/2013,RP,€48,,
PIERRE FABRE MEDICAMENT,Médecin,BOISSEL PHILIPPE,05/04/2012,Restauration,€12,,
SANOFI AVENTIS FRANCE,Pharmacien,JACQUENEAU CYRILLE,06/03/2014,Repas,€54,,
SEPTODONT SAS,Chirurgien-dentiste,TROCELLIER ISABELLE,04/12/2012,Autre,€250,,
TEVA SANTE SAS,Pharmacien,PICHEREAU LYLIANE,05/06/2014,REPAS,€128,,
TEVA SANTE SAS,Pharmacien,PICHEREAU LYLIANE,05/06/2014,HEBERGEMENT,€121,,
