ASTRAZENECA,Médecin,CHABAUD ERIC,03/12/2013,Repas,€57,,
ICOMED,Pharmacien,LADERRIERE PHILIPPE,03/06/2014,Autre: [Enquête],€24,,
MEDTRONIC France S.A.S,Médecin,LOUVARD YVES,26/03/2014,TRANSPORT,€616,,
MEDTRONIC France S.A.S,Médecin,LOUVARD YVES,26/03/2014,HEBERGEMENT,€192,,
MEDTRONIC France S.A.S,Médecin,LOUVARD YVES,26/03/2014,REPAS,€63,,
MEDTRONIC France S.A.S,Médecin,LOUVARD YVES,26/03/2014,REPAS,€60,,
MEDTRONIC France S.A.S,Médecin,UNTERSEEH THIERRY,26/03/2014,REPAS,€63,,
MEDTRONIC France S.A.S,Médecin,UNTERSEEH THIERRY,26/03/2014,TRANSPORT,€646,,
MEDTRONIC France S.A.S,Médecin,UNTERSEEH THIERRY,26/03/2014,HEBERGEMENT,€192,,
MEDTRONIC France S.A.S,Médecin,UNTERSEEH THIERRY,26/03/2014,REPAS,€60,,
NOVARTIS PHARMA SAS,Médecin,CHABAUD ERIC,19/11/2013,Autre : [Inscription Evenement Scientifique],€700,,
