3M France,Chirurgien-dentiste,GUIBERT PIERRE PHILIPPE,01/07/2013,REPAS,€26,,
ABBOTT PRODUCTS SAS,Médecin,ALBALADEJO MARING ROSIANE,14/03/2014,REPAS,€31,,
ABBOTT PRODUCTS SAS,Médecin,ALBALADEJO MARING Rosiane,06/09/2013,REPAS,€40,,
ABBOTT PRODUCTS SAS,Médecin,ROUSSE MEURIC FLORENCE,14/03/2014,REPAS,€31,,
ABBOTT PRODUCTS SAS,Médecin,ROUSSE MEURIC Florence,06/09/2013,REPAS,€40,,
AbbVie,Pharmacien,ELGHOZI ANNE,05/12/2013,REPAS,€43,,
ALFA WASSERMANN PHARMA,Médecin,BENICHOU LUC,08/11/2013,REPAS,€44,,
ALFA WASSERMANN PHARMA,Médecin,BENICHOU LUC,26/05/2014,REPAS,€40,,
ALFA WASSERMANN PHARMA,Médecin,KIASSI IRIELLE,08/11/2013,REPAS,€44,,
ALFA WASSERMANN PHARMA,Médecin,MELKA ROBERT,08/11/2013,REPAS,€44,,
ALFA WASSERMANN PHARMA,Médecin,MELKA ROBERT,26/05/2014,REPAS,€40,,
ALFA WASSERMANN PHARMA,Médecin,ROFE SOTTO ELISABETH,26/05/2014,REPAS,€53,,
ALFA WASSERMANN PHARMA,Médecin,ROFE SOTTO ELISABETH,08/11/2013,REPAS,€44,,
ALLERGAN FRANCE,Médecin,MEUNIER-KAZEROUNI FARNAZ,30/01/2014,REPAS,€42,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,10/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,AUTRE [FRAIS D INSCRIPTION],€290,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,TRANSPORT,€137,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,TRANSPORT,€137,,
AMGEN SAS,Médecin,KOLKO LABADENS ANNE,08/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,08/10/2013,AUTRE [FRAIS D INSCRIPTION],€290,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,10/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,08/10/2013,TRANSPORT,€137,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,08/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,09/10/2013,HEBERGEMENT,€219,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,MOLINA VIRGINIA,08/10/2013,TRANSPORT,€10,,
AMGEN SAS,Médecin,URENA TORRES PABLO,18/10/2013,REPAS,€40,,
AMGEN SAS,Médecin,URENA TORRES PABLO ANTONIO,24/04/2014,REPAS IMPROMPTU,€29,,
AMGEN SAS,Médecin,URENA TORRES PABLO ANTONIO,14/04/2014,REPAS IMPROMPTU,€59,,
Amplifon Groupe France,Médecin,MAAREK HARRY,13/03/2014,AUTRE : [INSCRIPTION-TRANSPORT-REPAS-HEBERGEMENT],"€1,620",,
Amplifon Groupe France,Médecin,MAAREK HARRY,25/05/2014,REPAS,€69,,
Arthrex SAS,Médecin,COHEN PIERRE,30/01/2014,REPAS,€51,,
Arthrex SAS,Médecin,COHEN PIERRE,30/01/2014,TRANSPORT,€418,,
ASTELLAS PHARMA,Médecin,BENICHOU LUC,24/04/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,KICHELEWSKI SYLVAIN,12/04/2013,REPAS,€60,,
ASTELLAS PHARMA,Médecin,KICHELEWSKI SYLVAIN,24/04/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,MELKA ROBERT,24/04/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,MELKA ROBERT,24/04/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,ROFE SOTTO ELISABETH,24/04/2014,REPAS,€40,,
ASTELLAS PHARMA,Médecin,ROFE SOTTO ELISABETH,12/04/2013,REPAS,€60,,
ASTRAZENECA,Médecin,ALBALADEJO MARING ROSIANE,10/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ALBALADEJO MARING ROSIANE,25/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,BENICHOU LUC,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,BENICHOU LUC,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,BENICHOU LUC,21/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,CORVAL ANNE MARIE,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,D AVIAU GUY,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,D AVIAU GUY,10/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,DEHENT EDWIGE,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,KICHELEWSKI SYLVAIN,10/12/2013,Repas,€57,,
ASTRAZENECA,Médecin,KICHELEWSKI SYLVAIN,15/05/2014,Repas,€57,,
ASTRAZENECA,Médecin,MELKA ROBERT,04/06/2014,Repas,€43,,
ASTRAZENECA,Médecin,MELKA ROBERT,21/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,RAVIER MAXIME,10/12/2013,Repas,€43,,
ASTRAZENECA,Médecin,ROFE SOTTO ELISABETH,21/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,ROUSSE MEURIC FLORENCE,25/03/2014,Repas,€43,,
ASTRAZENECA,Médecin,ROUSSE MEURIC FLORENCE,10/12/2013,Repas,€43,,
Bayer HealthCare SAS,Médecin,AZRIA CLAUDE,28/05/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,BENICHOU LUC,28/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,BENICHOU LUC,11/10/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,CHARPENTIER Jean marc,11/12/2013,Hospitalité,€45,,
Bayer HealthCare SAS,Médecin,DEMAZURE ERIC,28/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,DEMAZURE ERIC,11/10/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,DEMAZURE ERIC,04/04/2014,Hospitalité,"€1,123",,
Bayer HealthCare SAS,Médecin,HAYEM MARIE JOSEE,28/05/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,LUMBROSO JEAN PAUL,17/12/2013,Hospitalité,€28,,
Bayer HealthCare SAS,Médecin,LUMBROSO JEAN PAUL,04/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,MELKA ROBERT,28/03/2014,Hospitalité,€47,,
Bayer HealthCare SAS,Médecin,PARTOUCHE HENRI,28/05/2014,Hospitalité,€50,,
Bayer HealthCare SAS,Médecin,ROFE SOTTO ELISABETH,11/10/2013,Hospitalité,€38,,
Bayer HealthCare SAS,Médecin,ROFE SOTTO ELISABETH,28/03/2014,Hospitalité,€47,,
BIOCODEX,Médecin,ALBALADEJO MARING ROSIANE,28/02/2014,REPAS,€32,,
BIOCODEX,Médecin,ALBALADEJO MARING ROSIANE,13/09/2013,REPAS,€31,,
BIOCODEX,Médecin,ROUSSE MEURIC FLORENCE,28/02/2014,REPAS,€32,,
BIOCODEX,Médecin,ROUSSE MEURIC FLORENCE,13/09/2013,REPAS,€31,,
BRISTOL-MYERS SQUIBB,Médecin,AZRIA CLAUDE,05/02/2014,Repas,€17,,
BRISTOL-MYERS SQUIBB,Médecin,AZRIA CLAUDE,30/04/2014,Repas,€25,,
Carl Zeiss Meditec France,Médecin,LEBRUN THIERRY,02/10/2013,REPAS,€25,,
Carl Zeiss Meditec France,Médecin,LEBRUN THIERRY,13/12/2013,INVITATIONS,€70,,
CONGRES COLLOQUES CONVENTIONS,Médecin,RAPHALEN GENEVIEVE,15/03/2014,REPAS,€40,,
CONGRES COLLOQUES CONVENTIONS,Médecin,TRAN PHAT DAT,15/03/2014,REPAS,€40,,
ConsuMed Research,Médecin,KHALIL Ahmed,12/11/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,KHALIL Ahmed,17/06/2014,Autre : Indemnite,€140,,
ConsuMed Research,Médecin,KHALIL Ahmed,10/10/2013,Autre : Indemnite,€130,,
ConsuMed Research,Médecin,KHALIL Ahmed,19/07/2013,Autre : Indemnite,€120,,
ConsuMed Research,Médecin,KHALIL Ahmed,13/11/2013,Autre : Indemnite,€160,,
ConsuMed Research,Médecin,KHALIL Ahmed,12/12/2013,Autre : Indemnite,€120,,
ConsuMed Research,Médecin,KHALIL Ahmed,06/12/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,KHALIL Ahmed,26/11/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,KHALIL Ahmed,10/10/2013,Autre : Indemnite,€60,,
ConsuMed Research,Médecin,KHALIL Ahmed,13/06/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,KHALIL Ahmed,07/05/2013,Autre : Indemnite,€110,,
ConsuMed Research,Médecin,KHALIL Ahmed,24/10/2013,Autre : Indemnite,€90,,
ConsuMed Research,Médecin,KHALIL Ahmed,22/11/2013,Autre : Indemnite,€90,,
ConsuMed Research,Médecin,LEDERMAN Jacques,27/11/2013,Autre : Indemnite,€110,,
COSMETIQUE ACTIVE FRANCE,Etudiant,NAIT BOUDA SOPHIA,10/02/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Etudiant,PATEL KRUPA,10/04/2014,REPAS,€80,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DAYRAS AMELIE,03/02/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DAYRAS AMELIE,10/04/2014,REPAS,€80,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,DAYRAS AMELIE,19/05/2014,REPAS,€38,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HALOUA CATHY,10/02/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HALOUA CATHY,03/02/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HARMEL DELPHINE,10/02/2014,REPAS,€59,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HARMEL DELPHINE,19/05/2014,REPAS,€38,,
COSMETIQUE ACTIVE FRANCE,Pharmacien,HARMEL DELPHINE,03/02/2014,REPAS,€59,,
DAIICHI SANKYO FRANCE SAS,Médecin,ALBALADEJO MARING ROSIANE,28/03/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ALBALADEJO MARING ROSIANE,04/10/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ALBALADEJO MARING ROSIANE,08/11/2013,Repas,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,BENICHOU LUC,02/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,BENICHOU LUC,20/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,MELKA ROBERT,02/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,MELKA ROBERT,20/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROFE SOTTO ELISABETH,02/06/2014,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROFE SOTTO ELISABETH,20/09/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUSSE MEURIC FLORENCE,08/11/2013,Repas,€36,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUSSE MEURIC FLORENCE,04/10/2013,Repas,€45,,
DAIICHI SANKYO FRANCE SAS,Médecin,ROUSSE MEURIC FLORENCE,28/03/2014,Repas,€45,,
Dentsply Gac Europe,Chirurgien-dentiste,KASSAR ALEXANDRE,25/06/2014,REPAS,€12,,
DEPUY France,Infirmier,AFLALO Cathlene,21/03/2014,REPAS,€23,,
DEPUY France,Infirmier,ANCELIN Christine,21/03/2014,REPAS,€23,,
DEPUY France,Infirmier,MALAHEL Mylène,21/03/2014,REPAS,€23,,
DEPUY France,Infirmier,TAKHEDMIT Tsouria,21/03/2014,REPAS,€23,,
DEPUY France,Médecin,COHEN PIERRE,26/06/2014,HEBERGEMENT,€360,,
DEPUY France,Médecin,COHEN PIERRE,26/06/2014,REPAS,€240,,
DEPUY France,Médecin,COHEN PIERRE,26/06/2014,TRANSPORT,€417,,
Fresenius Medical Care France S.A.S.,Diététicien,RAOUL SOPHIE,26/11/2013,REPAS,€57,,
Fresenius Medical Care France S.A.S.,Infirmier,GUEDJ ARIELLE,12/03/2014,REPAS,€60,,
Fresenius Medical Care France S.A.S.,Infirmier,GUEDJ ARIELLE,12/03/2014,REPAS,€26,,
Fresenius Medical Care France S.A.S.,Infirmier,GUEDJ ARIELLE,13/03/2014,REPAS,€23,,
Fresenius Medical Care France S.A.S.,Infirmier,PARMENTIER FRANCOISE,10/02/2014,REPAS,€24,,
Fresenius Medical Care France S.A.S.,Médecin,KOLKO LABADENS ANNE,26/11/2013,REPAS,€46,,
Fresenius Medical Care France S.A.S.,Médecin,MICHEL CATHERINE,13/03/2014,REPAS,€76,,
Fresenius Medical Care France S.A.S.,Médecin,MICHEL CATHERINE,19/06/2014,AUTRE : [JOURNEE ETUDE],€133,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€29,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,TRANSPORT,€208,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,TRANSPORT,€208,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€29,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,GORSE CLAUDINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,05/02/2014,REPAS,€30,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,05/02/2014,REPAS,€30,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,TRANSPORT,€208,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,REPAS,€29,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,HEBERGEMENT,€384,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,REPAS,€24,,
GAMBRO HOSPAL SAS,Infirmier,MILLET GHISLAINE,04/02/2014,REPAS,€30,,
GAMBRO HOSPAL SAS,Infirmier,PARFAIT SYLVIE,08/04/2014,REPAS,€22,,
GAMBRO HOSPAL SAS,Infirmier,PARFAIT SYLVIE,10/04/2014,REPAS,€27,,
GAMBRO HOSPAL SAS,Infirmier,PARFAIT SYLVIE,08/04/2014,TRANSPORT,€193,,
GAMBRO HOSPAL SAS,Infirmier,PARFAIT SYLVIE,08/04/2014,HEBERGEMENT,€417,,
GAMBRO HOSPAL SAS,Infirmier,PARFAIT SYLVIE,09/04/2014,REPAS,€23,,
GAMBRO HOSPAL SAS,Infirmier,PARMENTIER FRANCOISE,01/04/2014,REPAS,€25,,
GAMBRO HOSPAL SAS,Infirmier,PARMENTIER FRANCOISE,22/05/2014,REPAS,€60,,
GAMBRO HOSPAL SAS,Infirmier,THOMAS MELANIE,09/04/2014,REPAS,€23,,
GAMBRO HOSPAL SAS,Infirmier,THOMAS MELANIE,10/04/2014,REPAS,€27,,
GAMBRO HOSPAL SAS,Infirmier,THOMAS MELANIE,09/04/2014,REPAS,€23,,
GAMBRO HOSPAL SAS,Infirmier,THOMAS MELANIE,08/04/2014,TRANSPORT,€193,,
GAMBRO HOSPAL SAS,Infirmier,THOMAS MELANIE,08/04/2014,HEBERGEMENT,€417,,
GAMBRO HOSPAL SAS,Médecin,KOLKO LABADENS ANNE,22/05/2014,REPAS,€60,,
GAMBRO HOSPAL SAS,Médecin,URENA TORRES PABLO ANTONIO,22/05/2014,REPAS,€60,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,LEDERMAN JACQUES,18/02/2014,REPAS,€40,,
GEDEON RICHTER France - Division Santé de la Femme,Médecin,LEDERMAN JACQUES,06/02/2014,REPAS,€19,,
HEMOTECH,Association professionnel de santé,ANNPA,20/12/2013,DONS DE FONCTIONNEMENT,"€2,400",,
