CHIESI SA,Médecin,JANNEL YVES,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,MABIRE ERIC,25/01/2013,25/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DJO France SAS,Orthophoniste,BOTTEMAN Patricia,23/03/2013,23/03/2013 - 23/03/2013,Formation,,
Genactis SAS,Médecin,jannel yves,15/12/2012,20/11/2012 - 31/01/2013,Autre: Collaboration pour une Etude de Marché,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,29/01/2013,29/01/2013 - 29/01/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,08/04/2013,08/04/2013 - 08/04/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,13/06/2013,13/06/2013 - 13/06/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,23/05/2013,23/05/2013 - 23/05/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,12/04/2013,12/04/2013 - 12/04/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,04/04/2013,04/04/2013 - 04/04/2013,CONGRES / SYMPOSIUM,,
JANSSEN-CILAG,Médecin,ITIER BRUNO,12/03/2013,12/03/2013 - 12/03/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GAUDRY BERNARD,19/12/2013,19/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,BRUN CATHERINE,13/01/2014,20/01/2014 - 20/01/2015,AUTRE : Recherche épidémiologique,,
LES LABORATOIRES SERVIER,Médecin,GAUDRY BERNARD,19/06/2014,19/06/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,GAUDRY BERNARD,05/11/2013,05/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ITIER BRUNO,05/11/2013,05/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ITIER BRUNO,11/10/2013,11/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ITIER BRUNO,12/12/2013,12/12/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,ITIER BRUNO,16/01/2014,16/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,JANNEL YVES,23/01/2014,23/01/2014 -,Recherche,,
