B3TSI,Médecin,DEVILLERS JACQUES,19/06/2014,19/06/2014 -,autre : enquête téléphonique,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUCHAMPT CHRISTIANE,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,DUCHAMPT CHRISTIANE,13/02/2014,13/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,DUCHAMPT CHRISTIANE,15/05/2014,15/05/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
SANOFI AVENTIS FRANCE,Médecin,LEMBREZ MARIE CHRISTINE,17/06/2014,17/06/2014 - 17/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,LEMBREZ MARIE CHRISTINE,11/02/2014,11/02/2014 - 11/02/2014,Autre : [Réunion],,
Takeda France,Médecin,DUCHAMPT Christiane,17/10/2013,17/10/2013 - 17/10/2013,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,HAAS GEORGES,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LOYETTES / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LOYETTES / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LOYETTES / SARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALLET POISSON,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALLET POISSON,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALLET POISSON,03/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALLET POISSON,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
