Genactis SAS,Médecin,Plan Gérard,13/02/2012,26/01/2012 - 19/02/2012,Autre: Collaboration pour une Etude de Marché,,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,PLAN GERARD,11/01/2014,16/01/2014 - 16/01/2015,AUTRE : Recherche épidémiologique,,
LES LABORATOIRES SERVIER,Médecin,PLAN GERARD,05/03/2014,05/03/2014 -,Recherche,,
Lilly France SAS,Infirmier,GELABERT MARIE,08/02/2014,08/02/2014 - 08/02/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Infirmier,SONG ARAMA CELINE,08/02/2014,08/02/2014 - 08/02/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,KOLODZIEJCZYK JEAN PIERRE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
Lilly France SAS,Médecin,KOLODZIEJCZYK JEAN PIERRE,20/03/2014,20/03/2014 - 20/03/2014,AUTRE : [PARTICIPATION RÉUNION SCIENTIFIQUE],,
PASCALEO,Médecin,PLAN GERARD,26/11/2013,26/11/2013 -,AUTRE,,
PIERRE FABRE MEDICAMENT,Médecin,KOLODZIEJCZYK JEAN PIERRE,16/12/2013,16/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,KOLODZIEJCZYK JEAN PIERRE,16/01/2014,16/01/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PLAN GERARD,16/12/2013,16/12/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE,17/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE NOUVELLE,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
