A+A,Pharmacien,KUNTZ PHILIPPE,13/06/2014,13/06/2014 -,ETUDE DE MARCHE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,PENEL DANIEL,21/11/2013,21/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Pharmacien,KUNTZ ANNICK,05/06/2014,05/06/2014 -,[FORMATION],,
BOIRON,Pharmacien,LUTHRINGER EMMANUEL,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,LUTHRINGER VERONIQUE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,ASPLANATO JULIE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CASALTA STEPHANIE,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,CHAIX DAMIEN,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LAUGIER MARILINE,22/05/2014,22/05/2014 -,[FORMATION],,
CHIESI SA,Médecin,PENEL DANIEL,27/02/2014,27/02/2014 - 27/02/2014,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PENEL DANIEL,12/09/2013,12/09/2013 - 12/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,PENEL DANIEL,12/06/2014,12/06/2014 - 12/06/2014,Autre : [hospitalité],,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LUTHRINGER EMMANUEL,26/07/2013,26/07/2013 - 24/01/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES MAYOLY SPINDLER,Médecin,PENEL DANIEL,26/06/2014,26/06/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,PENEL DANIEL,19/12/2013,19/12/2013 -,Autre : Manifestation scientifique,,
MENARINI FRANCE,Médecin,PENEL DANIEL,13/03/2014,13/03/2014 - 13/03/2014,Autre : Réunion scientifique,,
MENARINI FRANCE,Médecin,PENEL DANIEL,27/05/2014,27/05/2014 - 27/05/2014,Autre : Réunion scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,COLLIER GUY,15/12/2013,15/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,GAZELE JEAN JACQUES,15/12/2013,15/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,PENEL DANIEL,15/12/2013,15/12/2013 -,CONVENTION D'HOSPITALITE,,
