Bayer HealthCare SAS,Médecin,CLANET JEAN,23/01/2014,23/01/2014 - 23/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Autres types de personne morale,PHARMACIE SICRE ET MANERA,04/10/2013,04/10/2013 -,[RECHERCHE],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BERNARD MARLENE,17/04/2014,17/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GARDES AGNES,19/11/2013,19/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LEFEBVRE MARIELLE,19/11/2013,19/11/2013 -,[FORMATION],,
CHIESI SA,Médecin,CLANET JEAN,05/12/2013,05/12/2013 - 05/12/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,CLANET JEAN,17/06/2014,17/06/2014 - 17/06/2014,Autre : [hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLANET JEAN,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CLANET JEAN,14/11/2013,14/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LES LABORATOIRES SERVIER,Médecin,CLANET JEAN,30/01/2014,30/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
SANOFI AVENTIS FRANCE,Infirmier,LEMEE AUDREY,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,LYS SANDRINE,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Infirmier,PEDOUSSAUT NATHALIE,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,CALLEJA PHILIPPE,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,CASTIES SABINE,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,CLANET JEAN,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,PERROT FRANCOISE,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Pharmacien,SICRE FRANCOIS,14/06/2014,14/06/2014 - 14/06/2014,Autre : [Réunion],,
