A+A,Médecin,MAZERAUD JEAN PHILIPPE,06/01/2014,27/12/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MAZERAUD JEAN PHILIPPE,11/12/2013,11/12/2013 -,Formation,,
Lilly France SAS,Médecin,MAZERAUD JEAN PHILIPPE,29/11/2013,29/11/2013 - 29/11/2013,INVITATION,,
Lilly France SAS,Médecin,MAZERAUD JEAN PHILIPPE,18/09/2013,18/09/2013 - 18/09/2013,INVITATION,,
Lilly France SAS,Pharmacien,MAZERAUD DANIELE,18/09/2013,18/09/2013 - 18/09/2013,INVITATION,,
Lilly France SAS,Pharmacien,MAZERAUD DANIELE,29/11/2013,29/11/2013 - 29/11/2013,INVITATION,,
MENARINI FRANCE,Médecin,MAZERAUD JEAN PHILIPPE,05/04/2014,05/04/2014 - 06/04/2014,Autre : Réunion scientifique,,
MSD France,Médecin,MAZERAUD JEAN PHILIPPE,31/05/2012,31/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAZERAUD JEAN PHILIPPE,31/05/2013,31/05/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAZERAUD JEAN PHILIPPE,08/02/2012,08/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MAZERAUD JEAN PHILIPPE,11/07/2012,11/07/2012 -,CONVENTION D HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,MAZERAUD JEAN PHILIPPE,06/09/2013,06/09/2013 -,CONVENTION D'HOSPITALITE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BREVIANDES / SELARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE BREVIANDES / SELARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,YOUCEF KHODJA AREZKI,12/01/2014,12/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,YOUCEF KHODJA AREZKI,09/01/2014,09/01/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,YOUCEF KHODJA AREZKI,08/11/2013,08/11/2013 -,AUTRE: [ETUDE DE MARCHE],,
