A+A,Médecin,CILLARD KARINE,01/08/2012,01/08/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Association professionnel de santé,ASSOCIATION POUR LA PROMOTION, LA FORMATION ET LA RECHERCHE AU CENTRE HOSPITALIER DE BEGARD,01/10/2013,10/10/2013 -,Congrès/symposium,,
ASTRAZENECA,Médecin,ANDREI IOANA,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ANDREI IOANA,16/01/2014,16/01/2014 -,Formation,,
ASTRAZENECA,Médecin,ANDREI IOANA,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BERNARD JACQUES,14/05/2014,14/05/2014 -,Formation,,
ASTRAZENECA,Médecin,BUZALIC ANCA LUMINITA,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BUZALIC Anca Luminita,18/10/2013,18/10/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,CASANAVE LAULIVE DIDIER,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE LAULIVE DIDIER,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE LAULIVE DIDIER,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE LAULIVE DIDIER,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE LAULIVE DIDIER,12/06/2014,12/06/2014 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE PERSONNIC MARYSE,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE PERSONNIC MARYSE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE PERSONNIC MARYSE,12/06/2014,12/06/2014 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE PERSONNIC MARYSE,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,CASANAVE PERSONNIC MARYSE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALLOU YVON,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GALLOU YVON,05/12/2013,05/12/2013 -,Formation,,
