Bayer HealthCare SAS,Médecin,SEBILLE-KERNAUDOUR YANNIE,04/07/2013,04/07/2013 - 04/07/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOSTON SCIENTIFIC SAS,Médecin,GUILLOU-GYADER CHRISTINE,17/10/2013,17/10/2013 - 17/10/2013,CONGRES / SYMPOSIUM,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE LE GUERN PHIE LE GUERN,06/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BLANCHETIER PIERRE,12/12/2013,12/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Grünenthal SAS,Médecin,COZ GISELE,31/01/2014,31/01/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,GHESQUIERE AGNES,15/11/2013,15/11/2013 -,AUTRE,,
Laboratoires Grünenthal SAS,Médecin,PROUST REGIS,06/06/2013,25/06/2013 -,LES REGIONALES DE GERONTOLOGIE,,
LVL MEDICAL OUEST,Association professionnel de santé,ICB,23/06/2014,23/06/2014 -,MARKETING,,
MSD France,Médecin,AUTREL JEAN JACQUES,25/05/2012,25/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,AUTREL JEAN JACQUES,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUPEYRAT LAURE,18/04/2013,18/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUPEYRAT LAURE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUPEYRAT LAURE,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FOURNIS CHRISTINE,10/04/2014,10/04/2014 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,FOURNIS PATRICK,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FOURNIS PATRICK,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GUILLOU GUYADER CHRISTINE,10/04/2014,10/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANDORMY RICHARD,12/03/2014,12/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,LANDORMY RICHARD,25/05/2012,25/05/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,LANDORMY RICHARD,18/04/2013,18/04/2013 -,CONVENTION D’HOSPITALITÉ,,
