A+A,Médecin,FASQUEL BRIGITTE,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
B3TSI,Médecin,BARBERIS CHRISTOPHE,13/06/2014,13/06/2014 -,autre : enquête téléphonique,,
IMS Medical Radar,Médecin,HASBINI Ali,10/09/2013,10/09/2013 - 10/09/2013,autre: ETUDE,,
IMS Medical Radar,Médecin,HASBINI Ali,22/11/2013,22/11/2013 - 22/11/2013,autre: ETUDE,,
LABORATOIRES URGO,Médecin,GUILLARD DAYOT Helene,03/06/2014,03/06/2014 -,Congrès / Symposium,,
LOL PHARMA,Pharmacien,NICOLAS ET JAFFRE ET MR BOUGAULT NICOLAS ET JAFFRE ET MR BOUGAULT,23/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,NICOLAS ET JAFFRE ET MR BOUGAULT NICOLAS ET JAFFRE ET MR BOUGAULT,23/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
M3 Global Research Ltd,Médecin,Ali Hasbini,21/04/2014,21/04/2014 -,Marketing,,
SANOFI AVENTIS FRANCE,Pharmacien,NICOLAS LAURENCE,18/06/2014,18/06/2014 - 18/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,AVRIL ERWAN,18/06/2014,18/06/2014 - 18/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,DAULOUDET MARIE NOELLE,18/06/2014,18/06/2014 - 18/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE MEUR MARINE,18/06/2014,18/06/2014 - 18/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MATOCEVIK JENNIFER,18/06/2014,18/06/2014 - 18/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ESCALE / SNC,08/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ESCALE / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ESCALE / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE L'ESCALE / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
WorldOne Group B.V.,Médecin,BARBERIS CHRISTOPHE,17/10/2013,17/10/2013 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,BARBERIS CHRISTOPHE,23/06/2014,23/06/2014 -,AUTRE: [ETUDE DE MARCHE],,
WorldOne Group B.V.,Médecin,BARBERIS CHRISTOPHE,12/05/2014,12/05/2014 -,AUTRE: [ETUDE DE MARCHE],,
