ASTRAZENECA,Médecin,ALLAFORT JEREMY,16/12/2013,16/12/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,CHARBONNEL FRANCIS,19/01/2013,19/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
JANSSEN-CILAG,Médecin,ROY MICHEL,05/12/2013,05/12/2013 - 05/12/2013,CONGRES / SYMPOSIUM,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ABOUELFADEL MONA,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALBERT LEGRAND MARIE CLAUDE,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLAFORT JEREMY,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,ALLAFORT JEREMY,09/07/2013,09/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARBONNEL FRANCIS,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARBONNEL FRANCIS,09/07/2013,09/07/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONNOT PASCAL,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MONNOT SYLVIE,19/02/2014,19/02/2014 - 19/02/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Grünenthal SAS,Médecin,LAFONT PATRICK,15/10/2013,13/11/2013 -,SFETD,,
LABORATOIRES MAYOLY SPINDLER,Médecin,ALLAFORT Jeremy,05/03/2014,05/03/2014 -,Conseil Relations professionnelles,,
LES LABORATOIRES SERVIER,Médecin,ALLAFORT JEREMY,15/04/2014,15/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,ALLAFORT JEREMY,27/03/2014,27/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,ALLAFORT JEREMY,16/07/2013,16/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CHARBONNEL FRANCIS,16/10/2013,16/10/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CHARBONNEL FRANCIS,21/02/2014,21/02/2014 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,CHARBONNEL FRANCIS,27/03/2014,27/03/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,CHARBONNEL FRANCIS,15/04/2014,15/04/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
