B3TSI,Médecin,PRECHOUX THIERRY,19/06/2014,19/06/2014 -,autre : enquête téléphonique,,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE DONADIEU-BORDERON,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHRAIBI ABDOU,17/03/2014,17/03/2014 - 17/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PRECHOUX THIERRY,17/03/2014,17/03/2014 - 17/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRES ALCON,Médecin,BELLOIR FURET FRANCOISE,13/03/2014,13/03/2014 - 13/03/2014,Autre : [Table ronde],,
MSD France,Médecin,CHRAIBI ABDOU,16/02/2012,16/02/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,RUSU RODICA,16/02/2012,16/02/2012 -,CONVENTION D HOSPITALITE,,
NOVARTIS PHARMA SAS,Médecin,BELLOIR FURET FRANCOISE,30/01/2014,30/01/2014 - 31/01/2014,Autre : [Hospitalité Evenement],,
NOVARTIS PHARMA SAS,Médecin,BELLOIR FURET FRANCOISE,08/09/2013,08/09/2013 - 09/09/2013,Autre : [Hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DESVILLES / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DESVILLES / SARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DONADIEU / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DONADIEU / SARL,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DONADIEU / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DONADIEU / SARL,09/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LIZARD / SARL,10/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE LIZARD / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
