A+A,Médecin,BANRY JEAN FRANCOIS,23/05/2012,22/05/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,HAMMEL BRUNO,30/01/2014,30/01/2014 -,Formation,,
ASTRAZENECA,Médecin,HAMMEL BRUNO,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE CORRE CHRISTIAN,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,ROBIN FABRICE,25/09/2013,25/09/2013 -,Formation,,
BOEHRINGER INGELHEIM FRANCE,Médecin,FONS NICOLAS,07/11/2013,07/11/2013 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
DAIICHI SANKYO FRANCE SAS,Médecin,BELLE GERARD,24/06/2014,24/06/2014 - 24/06/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,BUZDUGAN FLORINA,25/06/2014,25/06/2014 - 25/06/2014,Autre : [hospitalité],,
DAIICHI SANKYO FRANCE SAS,Médecin,PERNIN CLEMENCE,25/06/2014,25/06/2014 - 25/06/2014,Autre : [hospitalité],,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE REDON PHIE REDON,06/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE REDON PHIE REDON,15/04/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE REDON PHIE REDON,09/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE REDON PHIE REDON,06/03/2014,08/04/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE REDON PHIE REDON,09/04/2014,07/05/2014 -,AUTRE : CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
IPSEN PHARMA,Médecin,BELLE GERARD,03/06/2014,03/06/2014 - 03/06/2014,CONVENTION D'HOSPITALITE,,
IPSEN PHARMA,Médecin,JULLIAND JEAN PAUL,03/06/2014,03/06/2014 - 03/06/2014,CONVENTION D'HOSPITALITE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLE GERARD,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,HAMMEL BRUNO,14/03/2014,14/03/2014 - 14/03/2014,Autre : [Convention d'Hospitalité],,
Laboratoires Expanscience,Médecin,BELLE GERARD,12/06/2014,12/06/2014 - 12/06/2014,Formation,,
LASER,Médecin,LE CORRE CHRISTIAN,20/04/2012,20/04/2012 - 19/04/2017,RECHERCHE,,
