A+A,Médecin,GROSSETETE ISABELLE,19/07/2013,18/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CROITORU AJOUX ANA MARIA,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,GROSSETETE ISABELLE,29/01/2014,29/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GROSSETETE ISABELLE,05/06/2014,05/06/2014 -,Formation,,
BOIRON,Pharmacien,DUBAIL MICHELINE,10/03/2014,14/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,DUBAIL MICHELINE,10/03/2014,14/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIGON ELODIE,10/03/2014,14/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,GIGON ELODIE,10/03/2014,14/04/2014 -,[FORMATION],,
MSD France,Médecin,CROITORU AJOUX ANA MARIA,25/09/2013,25/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CROITORU AJOUX ANA MARIA,04/04/2013,04/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CROITORU AJOUX ANA MARIA,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,19/03/2014,19/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,25/09/2013,25/09/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,20/03/2014,20/03/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,12/06/2014,12/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,04/04/2013,04/04/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,19/09/2012,19/09/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GROSSETETE ISABELLE,22/05/2013,22/05/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,GROSSETETE ISABELLE,14/03/2012,14/03/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,GROSSETETE ISABELLE,11/04/2012,11/04/2012 -,CONVENTION D HOSPITALITE,,
