AbbVie,Médecin,LEGER SANDY,13/12/2013,10/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,BOVIN PHILIPPE,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BOVIN PHILIPPE,13/03/2014,13/03/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DE VIENNE JEAN,18/03/2014,18/03/2014 - 18/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,EGRET AMELIE,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL CORINNE,22/01/2014,22/01/2014 - 22/01/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIDAL CORINNE,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Convention d'Hospitalité],,
MSD France,Médecin,ETESSE JEAN BAPTISTE,31/05/2012,31/05/2012 -,CONVENTION D HOSPITALITE,,
MUNDIPHARMA,Médecin,VIDAL CORINNE,13/03/2014,13/03/2014 -,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,VIDAL CORINNE,05/02/2013,05/02/2013 - 05/02/2013,AUTRE : CONVENTION D'HOSPITALITE,,
MUNDIPHARMA,Médecin,VIDAL CORINNE,26/11/2013,26/11/2013 -,FORMATION,,
NOVO NORDISK,Médecin,POULINGUE GERALDINE,12/06/2014,12/06/2014 -,HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,DE VIENNE JEAN,15/04/2014,15/04/2014 - 15/04/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,DE VIENNE JEAN,17/06/2014,17/06/2014 - 17/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,DE VIENNE JEAN,17/12/2013,17/12/2013 - 17/12/2013,Convention d'Hospitalité,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU TILLEUL,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE DU TILLEUL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE HURARD,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
