A+A,Pharmacien,LOUEDEC CHANTAL,25/02/2013,25/02/2013 -,ETUDE DE MARCHE,,
AbbVie,Fondation,SAS KARINE CHEVREUL GROUP,31/08/2013,31/08/2013 -,CONSEIL,,
All Global,Médecin,Bernard Alain,30/05/2014,30/05/2014 -,[Marketing],,
ASTRAZENECA,Médecin,LE GUEN ALAIN,07/11/2013,07/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE GUEN ALAIN,22/05/2014,22/05/2014 -,Formation,,
ASTRAZENECA,Médecin,LE LEZ JEAN JACQUES,22/05/2014,22/05/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,LE GUEN ALAIN,27/05/2014,27/05/2014 - 27/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Pharmacien,TALARMAIN DENIEL KARINE,15/04/2014,15/04/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOIRON,Médecin,FOURNIERE SOPHIE,03/10/2013,03/10/2013 -,[FORMATION],,
BOIRON,Médecin,FOURNIERE SOPHIE,26/09/2013,26/09/2013 -,[FORMATION],,
BOIRON,Médecin,FOURNIERE SOPHIE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Médecin,GASNIER ANNE LAURE,25/03/2014,25/03/2014 -,[FORMATION],,
BOIRON,Médecin,GASNIER ANNE LAURE,03/10/2013,03/10/2013 -,[FORMATION],,
BOIRON,Médecin,GASNIER ANNE LAURE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,LE BIHAN-LE FLOC'H ANNE,09/12/2013,09/12/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,LE VOUEDEC EMELINE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,L'HARIDON MELANIE,21/11/2013,21/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,MUSY CECILE,21/11/2013,21/11/2013 -,[FORMATION],,
FERRING SAS,Infirmier,UGUEN MAGALI,17/10/2013,17/10/2013 - 17/10/2013,Autre : [ Manifestation Scientifique ],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DORVAL BREUILLOT MARIE EDITH,25/04/2014,25/04/2014 - 25/04/2014,Autre : [Convention d'Hospitalité],,
