A+A,Pharmacien,TRAINEAU SENDRAL VALERIE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,CLERY HELENE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MANZANERE JOEL,23/01/2014,23/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MANZANERE JOEL,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,MANZANERE JOEL,08/04/2014,08/04/2014 -,Formation,,
ASTRAZENECA,Médecin,SALAS HENRI,13/05/2014,13/05/2014 -,Formation,,
ASTRAZENECA,Médecin,VASCHALDE PATRICE,17/09/2013,17/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,PUGIBET THIOLIER MARYVONNE,17/04/2014,17/04/2014 - 17/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,DELAIRE BEATRICE,16/04/2014,16/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,DELAIRE BEATRICE,16/04/2014,16/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LAMORTHE JEAN-PIERRE,16/04/2014,16/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,LAMORTHE JEAN-PIERRE,16/04/2014,16/04/2014 -,[FORMATION],,
Carl Zeiss Meditec France,Médecin,PASCAL FABIENNE,26/08/2013,19/10/2013 - 19/10/2013,FORMATION,,
DAIICHI SANKYO FRANCE SAS,Médecin,GIRARD FREDERIC,29/04/2014,29/04/2014 - 29/04/2014,Autre : [hospitalité],,
Laboratoires Grünenthal SAS,Médecin,CLERY HELENE,18/02/2014,18/02/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,SALAS HENRI,18/02/2014,18/02/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,GIRARD FREDERIC,18/02/2014,18/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VASCHALDE PATRICE,21/01/2014,21/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VASCHALDE PATRICE,19/11/2013,19/11/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,VASCHALDE PATRICE,21/01/2014,21/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
