A+A,Médecin,CORTY ARNAUD,28/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,ABADIE SABINE,11/02/2014,11/02/2014 - 13/08/2014,AUTRE : Recherche épidémiologique,,
LENTILLES SAS,Médecin,LEDRUE TIPHAINE,04/06/2014,04/06/2014 -,SFOALC OCCITANIE,,
MAPI SAS,Etablissement de santé,PHARMACIE BERGOUGNAN CHRISTINE,30/09/2013,30/09/2013 -,CONVENTION DE RECHERCHE,,
MAPI SAS,Pharmacien,BERGOUGNAN CHRISTINE,30/09/2013,30/09/2013 -,CONVENTION DE RECHERCHE,,
MSD France,Etablissement de santé,PHARMACIE DES PYRENEES,28/06/2013,28/06/2013 -,EXPERT,,
MSD France,Médecin,ARNAL MYRIAM,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BOUBE BERNARD,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,BOUBE BERNARD,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CAZAVET ANNIE,27/05/2014,27/05/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CAZAVET ANNIE,06/06/2012,06/06/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CHAMBERLIN LAURENT,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHAMBERLIN LAURENT,28/03/2013,28/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHAMBERLIN LAURENT,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,CHAMBERLIN LAURENT,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,CHAMBERLIN MARIE CLAUDE,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,FORESTIER LILIANE,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,HIPPOLYTE JEAN LOUIS,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,HIPPOLYTE JEAN LOUIS,28/03/2013,28/03/2013 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,MARTINET JEAN CLAUDE,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
