A+A,Médecin,THUET ISABELLE,28/05/2013,27/05/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BONNASSIES ALAIN,15/04/2014,15/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNASSIES ALAIN,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNASSIES ALAIN,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNASSIES ALAIN,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,BONNASSIES ALAIN,15/11/2013,15/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,18/03/2014,18/03/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,19/11/2013,19/11/2013 -,Formation,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,DUBRULLE STEPHANE,15/01/2014,15/01/2014 -,Formation,,
ASTRAZENECA,Médecin,POURGATOU SERGE,20/02/2014,20/02/2014 -,Formation,,
ASTRAZENECA,Médecin,POURGATOU SERGE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,POURGATOU SERGE,05/06/2014,05/06/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL BLUME FABIENNE,15/05/2014,15/05/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL BLUME FABIENNE,27/02/2014,27/02/2014 -,Formation,,
ASTRAZENECA,Médecin,VIDAL BLUME FABIENNE,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,WAGET SERGE,15/11/2013,15/11/2013 -,Congrès / Symposium,,
ASTRAZENECA,Médecin,WAGET SERGE,15/05/2014,15/05/2014 -,Formation,,
