A+A,Médecin,DUCHEIN SANDRINE,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,TATAREAU GERARD,18/12/2013,18/12/2013 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TATAREAU GERARD,07/02/2012,07/02/2012 -,Recherche,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,FAURE NATHALIE,06/05/2014,06/05/2014 - 05/11/2014,AUTRE : Recherche épidémiologique,,
LES LABORATOIRES SERVIER,Médecin,TATAREAU GERARD,17/12/2013,17/12/2013 -,Recherche,,
MSD France,Etablissement de santé,PHARMACIE DU FOUSSERET,03/01/2014,03/01/2014 -,EXPERT,,
MSD France,Médecin,ABOU DAYE IBRAHIM,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,ANDRIEUX CLAUDE,23/04/2014,23/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DELAVAUD AURELIE,08/04/2014,08/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DELAVAUD AURELIE,23/04/2014,23/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUCHEIN SANDRINE,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUCHEIN SANDRINE,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUCHEIN SANDRINE,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DUCHEIN SANDRINE,23/04/2014,23/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,DUCHEIN SANDRINE,28/03/2013,28/03/2013 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TATAREAU GERARD,01/04/2014,01/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TATAREAU GERARD,23/04/2014,23/04/2014 -,CONVENTION D’HOSPITALITÉ,,
MSD France,Médecin,TATAREAU GERARD,09/10/2012,09/10/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,TATAREAU GERARD,23/05/2012,23/05/2012 -,CONVENTION D HOSPITALITE,,
NOVO NORDISK,Médecin,ANDRIEUX CLAUDE,20/02/2014,20/02/2014 -,HOSPITALITE,,
