AbbVie,Médecin,ORY MAGNE FABIENNE,03/06/2013,03/06/2013 -,AUTRE: [CONTRAT DE COLLABORATION SCIENTIFIQUE],,
ASTRAZENECA,Médecin,FABRE MARIE HELENE,01/10/2013,01/10/2013 -,Formation,,
ASTRAZENECA,Médecin,FABRE MARIE HELENE,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LATROUS LEILA,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LATROUS LEILA,18/12/2013,18/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LATROUS LEILA,04/06/2014,04/06/2014 -,Formation,,
ASTRAZENECA,Médecin,LATROUS LEILA,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LATROUS LEILA,15/01/2014,15/01/2014 -,Formation,,
ASTRAZENECA,Médecin,LENG ENG LAING,10/10/2013,10/10/2013 -,Formation,,
ASTRAZENECA,Médecin,SUBREVILLE GARCIA CHRISTINE,10/10/2013,10/10/2013 -,Formation,,
Axess Research,Médecin,LATROUS LEILA,26/03/2014,26/03/2014 - 26/03/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,DESTAIN CHRISTIAN,18/06/2014,18/06/2014 - 18/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,DESTAIN CHRISTIAN,24/04/2014,24/04/2014 - 24/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,FABRE MARIE HELENE,28/01/2014,28/01/2014 - 28/01/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LATROUS LEILA,18/06/2014,18/06/2014 - 18/06/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Médecin,PHILIPPE FABIENNE,27/05/2014,27/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,GAUCHE NICOLE,12/11/2013,12/11/2013 -,[FORMATION],,
FH ORTHOPEDICS,Masseur-kinésithérapeute,REAL BRUNO,22/10/2013,22/10/2013 -,FORMATION,,
FH ORTHOPEDICS,Masseur-kinésithérapeute,REAL CORINNE,22/10/2013,22/10/2013 -,FORMATION,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE GAUCHE PHIE GAUCHE,21/05/2013,05/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
