A+A,Médecin,MEYNIE PHILIPPE,16/07/2013,16/07/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BERLOT JEAN YVES,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MANTOULAN OLIVIER,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MEYNIE PHILIPPE,13/03/2014,13/03/2014 -,Formation,,
ASTRAZENECA,Médecin,VIEUSSAN ALAIN,13/03/2014,13/03/2014 -,Formation,,
CHIESI SA,Médecin,BERLOT JEAN YVES,10/10/2013,10/10/2013 - 10/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,MEYNIE PHILIPPE,10/10/2013,10/10/2013 - 10/10/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,VIEUSSAN ALAIN,10/10/2013,10/10/2013 - 10/10/2013,Autre : HOSPITALITE RP,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MANTOULAN OLIVIER,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEYNIE PHILIPPE,19/09/2013,19/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MEYNIE PHILIPPE,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VIEUSSAN ALAIN,12/09/2013,12/09/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRES BOUCHARA - RECORDATI,Médecin,VIEUSSAN ALAIN,15/01/2014,21/01/2014 - 21/01/2015,AUTRE : Recherche épidémiologique,,
LASER,Médecin,VIEUSSAN ALAIN,20/05/2012,20/05/2012 - 30/04/2014,RECHERCHE,,
LES LABORATOIRES SERVIER,Médecin,MEYNIE PHILIPPE,05/02/2014,05/02/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,VIEUSSAN ALAIN,24/10/2013,24/10/2013 -,Autre : Manifestation scientifique,,
LOL PHARMA,Pharmacien,MADEC CATHERINE MADEC CATHERINE,06/04/2012,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,MAGESCAS ET MADEC MAGESCAS ET MADEC,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,MAGESCAS ET MADEC MAGESCAS ET MADEC,06/05/2013,26/07/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LOL PHARMA,Pharmacien,MAGESCAS ET MADEC MAGESCAS ET MADEC,20/08/2013,27/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
