A+A,Médecin,MARTY ANTOINE,26/03/2012,26/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,MARTY ANTOINE,02/04/2014,02/04/2014 -,Formation,,
ASTRAZENECA,Médecin,MARTY ANTOINE,11/09/2013,11/09/2013 -,Formation,,
ASTRAZENECA,Médecin,MARTY ANTOINE,23/10/2013,23/10/2013 -,Formation,,
ASTRAZENECA,Médecin,SEBAG DAVID,06/11/2013,06/11/2013 -,Formation,,
ASTRAZENECA,Médecin,SEBAG DAVID,13/02/2014,13/02/2014 -,Formation,,
ASTRAZENECA,Médecin,SEBAG DAVID,11/09/2013,11/09/2013 -,Formation,,
Bayer HealthCare SAS,Médecin,SEBAG DAVID,26/03/2014,26/03/2014 - 26/03/2014,AUTRE : MANIFESTATION DE PROMOTION,,
LES LABORATOIRES SERVIER,Médecin,MARTY ANTOINE,29/01/2014,29/01/2014 -,Manifestation scientifique - congrès - table ronde - ... (A SUP. APRES FIX INDACFOBJCNV),,
LES LABORATOIRES SERVIER,Médecin,MARTY ANTOINE,18/12/2013,18/12/2013 -,Autre : Manifestation scientifique,,
PIERRE FABRE MEDICAMENT,Médecin,SEBAG DAVID,15/11/2013,15/11/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Pharmacien,LAURICELLA LOUIS,17/01/2014,17/01/2014 -,CONVENTION D'HOSPITALITE,,
Takeda France,Médecin,MARTY Antoine,02/10/2013,02/10/2013 - 02/10/2013,Autre: [Convention d'hospitalité],,
Takeda France,Médecin,SEBAG David,02/10/2013,02/10/2013 - 02/10/2013,Autre: [Convention d'hospitalité],,
TEVA SANTE SAS,Autres types de personne morale,PHIE DE LA PIERRE PERCEE / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
