A+A,Médecin,BECHARA ADONIS,30/07/2012,26/07/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BARANSKI GEORGES,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GIROD FRANCOIS,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,GIROD FRANCOIS,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,JEANVOINE HERVE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,PERRIER TRISTAN,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,TROSSAT JEAN CLAUDE,05/12/2013,05/12/2013 -,Formation,,
ASTRAZENECA,Médecin,TROUPEL JONATHAN,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,TROUPEL JONATHAN,17/09/2013,17/09/2013 -,Formation,,
ASTRAZENECA,Médecin,WATELET NATHALIE,14/11/2013,14/11/2013 -,Formation,,
ASTRAZENECA,Médecin,WATELET NATHALIE,17/09/2013,17/09/2013 -,Formation,,
DAIICHI SANKYO FRANCE SAS,Médecin,JUHAN RENE,15/01/2013,15/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
GIBAUD,Pharmacien,BLANC COLIN CLAUDINE,20/05/2014,23/01/2014 -,Formation,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,01/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,01/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
HEALTHCAREGEN COMMUNICATION,Pharmacien,PHIE CENTRALE PHIE CENTRALE,01/07/2013,01/08/2013 -,CONTRAT D ACHAT D ESPACE PUBLICITAIRE,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BARBIER ETIENNE,25/11/2013,25/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BASIC NURI,13/05/2014,13/05/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BECHARA ADONIS,13/05/2014,13/05/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUFOUR COMBIER CORINNE,13/05/2014,13/05/2014 -,AUTRE : [CONVENTION HOSPITALITE],,
