A+A,Pharmacien,CROM MARIE PIERRE,16/04/2013,15/04/2013 -,ETUDE DE MARCHE,,
AbbVie,Médecin,MOULIN AURELIE,20/03/2014,20/03/2014 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,DESGACHES PAULINE,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,LOQUES FREDERIC,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,MORTIER LAURENT,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,PEYROUTOU EVELYNE,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,SORLIN MICHEL,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,TERRACOL PHILIPPE,25/03/2014,25/03/2014 -,Formation,,
ASTRAZENECA,Médecin,TOINON MARINA,18/03/2014,18/03/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,ARMAND MICHEL,08/04/2014,08/04/2014 - 08/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
DAIICHI SANKYO FRANCE SAS,Médecin,DESGACHES PAULINE,25/09/2013,25/09/2013 - 25/09/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,THIEBAUT NICOLAS,25/09/2013,25/09/2013 - 25/09/2013,Autre : [ hospitalité ],,
galderma international,Médecin,MOULIN AURELIE,22/04/2014,22/04/2014 - 22/04/2014,Autre,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTIER LAURENT,05/05/2014,01/06/2014 - 01/06/2014,CONGRES,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,MORTIER LAURENT,20/01/2014,20/01/2014 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,TERRACOL PHILIPPE,20/03/2014,20/03/2014 - 20/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,VERNAY CHRISTINE,12/06/2012,12/06/2012 -,Autre : [Convention d hospitalite],,
LABORATOIRES COLOPLAST,Infirmier,BONY NADINE,05/12/2013,05/12/2013 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,BRAVO AGNES,05/12/2013,05/12/2013 -,Autre : convention d'hospitalité,,
LABORATOIRES COLOPLAST,Infirmier,VICARD MIREILLE,05/12/2013,05/12/2013 -,Autre : convention d'hospitalité,,
