MSD France,Etablissement de santé,PHARMACIE MALZIEU JEAN PIERRE,12/08/2013,12/08/2013 -,EXPERT,,
MSD France,Médecin,BONNET DOMINIQUE,03/06/2014,03/06/2014 -,CONVENTION D’HOSPITALITÉ,,
PIERRE FABRE MEDICAMENT,Médecin,BONNET DOMINIQUE,27/05/2014,27/05/2014 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,BONNET DOMINIQUE,17/12/2013,17/12/2013 -,CONVENTION D'HOSPITALITE,,
PIERRE FABRE MEDICAMENT,Médecin,DODEL WILFRID,17/12/2013,17/12/2013 -,CONVENTION D'HOSPITALITE,,
SANOFI AVENTIS FRANCE,Médecin,BONNET DOMINIQUE,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BONNET DOMINIQUE,21/11/2013,21/11/2013 - 21/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,DODEL WILFRID,21/11/2013,21/11/2013 - 21/11/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,DODEL WILFRID,05/06/2014,05/06/2014 - 05/06/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALZIEU / SARL,08/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALZIEU / SARL,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE MALZIEU / SARL,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
