A+A,Médecin,BERNARD BOURDON DELPHINE,02/07/2013,01/07/2013 -,ETUDE DE MARCHE,,
Actelion Pharmaceuticals France,Masseur-kinésithérapeute,JEAN VERONIQUE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE [CONNEXION],,
ASTRAZENECA,Médecin,BERNARD BOURDON DELPHINE,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,BERNARD BOURDON DELPHINE,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,CLOUET JEAN LOUIS,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,CLOUET JEAN LOUIS,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FREUCHET JACKY,21/11/2013,21/11/2013 -,Formation,,
ASTRAZENECA,Médecin,FREUCHET JACKY,26/02/2014,26/02/2014 -,Formation,,
ASTRAZENECA,Médecin,LEFEUVRE YVES,09/10/2013,09/10/2013 -,Formation,,
ASTRAZENECA,Médecin,LEFEUVRE YVES,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE SEAC H HERVE,26/11/2013,26/11/2013 -,Formation,,
ASTRAZENECA,Médecin,LE SEAC H HERVE,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,LE SEAC H HERVE,26/02/2014,26/02/2014 -,Formation,,
Axess Research,Médecin,AMBEZA MAGALI,27/02/2014,27/02/2014 - 27/02/2014,Autre : ETUDE DE MARCHE,,
Bayer HealthCare SAS,Médecin,FREUCHET JACKY,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,LE SEAC H HERVE,03/04/2014,03/04/2014 - 03/04/2014,AUTRE : MANIFESTATION DE PROMOTION,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CAILLON MARIE LAURENCE,18/06/2014,18/06/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CAILLON MARIE LAURENCE,15/01/2014,15/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CLOUET JEAN LOUIS,15/01/2014,15/01/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
BOEHRINGER INGELHEIM FRANCE,Médecin,CLOUET JEAN LOUIS,18/06/2014,18/06/2014 -,AUTRE : PARTICIPATION A MANIFESTATION SCIENTIFIQUE,,
