A+A,Médecin,BARRAS DENIS,16/01/2013,16/01/2013 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GUILMET PIERRE,07/04/2014,07/04/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILMET PIERRE,27/01/2014,27/01/2014 -,Formation,,
ASTRAZENECA,Médecin,GUILMET PIERRE,17/12/2013,17/12/2013 -,Formation,,
ASTRAZENECA,Médecin,GUILMET PIERRE,23/09/2013,23/09/2013 -,Formation,,
ASTRAZENECA,Médecin,GUILMET PIERRE,18/11/2013,18/11/2013 -,Formation,,
GIBAUD,Pharmacien,AUZURET Marie,25/04/2014,23/01/2014 -,Formation,,
GIBAUD,Pharmacien,SUIVENG Florence,25/04/2014,23/01/2014 -,Formation,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LEVESQUE CATHERINE,20/06/2014,20/06/2014 - 20/12/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LEVESQUE CATHERINE,20/06/2014,20/06/2014 - 20/12/2014,AUTRE : Recherche épidémiologique,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LEVESQUE CATHERINE,18/12/2013,18/12/2013 - 18/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES BOUCHARA - RECORDATI,Pharmacien,LEVESQUE CATHERINE,18/12/2013,18/12/2013 - 18/06/2014,RECHERCHE ÉPIDÉMIOLOGIQUE,,
LABORATOIRES COLOPLAST,Médecin,DROUIN AURORE,23/05/2014,23/05/2014 -,Autre : convention d'hospitalité,,
Laboratoires Grünenthal SAS,Médecin,COULIBALY OUSMANE,18/03/2014,18/03/2014 -,REUNION SCIENTIFIQUE,,
Laboratoires Grünenthal SAS,Médecin,GUILMET PIERRE,01/04/2014,01/04/2014 -,REUNION SCIENTIFIQUE,,
LES LABORATOIRES SERVIER,Médecin,CHEMALI MOHAMED,11/07/2013,11/07/2013 -,Autre : Manifestation scientifique,,
LES LABORATOIRES SERVIER,Médecin,DEGHAYE PHILIPPE,20/09/2013,20/09/2013 -,Recherche,,
MSD France,Médecin,CHEMALI MOHAMED,19/04/2012,19/04/2012 -,CONVENTION D HOSPITALITE,,
MSD France,Médecin,DEGHAYE PHILIPPE,09/10/2013,09/10/2013 -,RECHERCHE BIOMÉDICALE,,
MUNDIPHARMA,Médecin,ROLAND CHRISTIAN,24/09/2013,24/09/2013 -,FORMATION,,
