A+A,Médecin,PERRIN JEAN RENE,23/07/2012,23/07/2012 -,ETUDE DE MARCHE,,
AbbVie,Pharmacien,BRIDON PASCALE,05/12/2013,05/12/2013 -,AUTRE: [CONVENTION HOSPITALITE],,
ASTRAZENECA,Médecin,CHAMPEAU DOMINIQUE,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,11/12/2013,11/12/2013 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,15/01/2014,15/01/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,21/05/2014,21/05/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,12/02/2014,12/02/2014 -,Formation,,
ASTRAZENECA,Médecin,FOUCHER PATRICK,24/10/2013,24/10/2013 -,Formation,,
ASTRAZENECA,Médecin,MENNESSON REMI,14/01/2014,14/01/2014 -,Formation,,
ASTRAZENECA,Médecin,MENNESSON REMI,08/10/2013,08/10/2013 -,Formation,,
ASTRAZENECA,Médecin,PERRIN MARIE LAURE,12/02/2014,12/02/2014 -,Formation,,
BOIRON,Pharmacien,VEYSSIERES-MONNETREAU DELPHINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,VEYSSIERES-MONNETREAU DELPHINE,15/04/2014,15/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,VEYSSIERES-MONNETREAU DELPHINE,15/04/2014,15/04/2014 -,[FORMATION],,
CHIESI SA,Médecin,CHAMPEAU DOMINIQUE,11/09/2013,11/09/2013 - 11/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,FOUCHER PATRICK,11/09/2013,11/09/2013 - 11/09/2013,Autre : HOSPITALITE RP,,
CHIESI SA,Médecin,PERRIN MARIE LAURE,11/09/2013,11/09/2013 - 11/09/2013,Autre : HOSPITALITE RP,,
DAIICHI SANKYO FRANCE SAS,Médecin,FOUCHER PATRICK,02/10/2013,02/10/2013 - 02/10/2013,Autre : [ hospitalité ],,
DAIICHI SANKYO FRANCE SAS,Médecin,MENNESSON REMI,25/01/2013,25/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
