A+A,Médecin,FAURE MICHEL,26/03/2012,23/03/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,BRASOVEANU AMALIA,06/03/2014,06/03/2014 -,Formation,,
ASTRAZENECA,Médecin,BRASOVEANU AMALIA,22/10/2013,22/10/2013 -,Formation,,
ASTRAZENECA,Médecin,BRASOVEANU AMALIA,30/04/2014,30/04/2014 -,Formation,,
ASTRAZENECA,Médecin,LECOINTRE JEAN CLAUDE,26/09/2013,26/09/2013 -,Formation,,
Bayer HealthCare SAS,Pharmacien,JANSSENS FRANCINE,17/12/2013,17/12/2013 - 17/12/2013,AUTRE : MANIFESTATION DE PROMOTION,,
BOIRON,Pharmacien,JANSSENS FRANCINE,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,MARTINI RACHEL,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,MARTINI RACHEL,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALI,22/05/2014,22/05/2014 -,[AUTRE],,
BOIRON,Pharmacien,PEREZ MAGALI,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALI,22/05/2014,22/05/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALIE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALIE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALIE,27/03/2014,27/03/2014 -,[FORMATION],,
BOIRON,Pharmacien,PEREZ MAGALY,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Pharmacien,POLLET CHRISTELLE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Pharmacien,POLLET CHRISTELLE,03/04/2014,03/04/2014 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BONINI SANDRA,14/11/2013,14/11/2013 -,[FORMATION],,
BOIRON,Préparateur en pharmacie et préparateur en pharmacie hospitalière,BORINI SANDRA,03/04/2014,03/04/2014 -,[FORMATION],,
