A+A,Médecin,ROLLES JEAN PIERRE,05/01/2012,05/01/2012 -,ETUDE DE MARCHE,,
ASTRAZENECA,Médecin,GUFFOND ERIC,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,OUDRHIRI JAOUAD,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,PETIT JAMES,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,TAFFORET ISABELLE,17/04/2014,17/04/2014 -,Formation,,
ASTRAZENECA,Médecin,TAFFORET ISABELLE,10/04/2014,10/04/2014 -,Formation,,
Bayer HealthCare SAS,Médecin,BOISSOL PIERRETTE,06/05/2014,06/05/2014 - 06/05/2014,AUTRE : MANIFESTATION DE PROMOTION,,
Bayer HealthCare SAS,Médecin,EL HAROUCHY MEHDI,10/05/2014,10/05/2014 - 13/05/2014,Invitation à un congrès,,
BOIRON,Médecin,ROY ANNIE,09/04/2014,09/04/2014 -,[FORMATION],,
BOIRON,Médecin,ROY ANNIE,09/04/2014,09/04/2014 -,[FORMATION],,
BOIRON,Médecin,SEIGNON VIOLENE,09/04/2014,09/04/2014 -,[FORMATION],,
BOIRON,Médecin,SEIGNON VIOLENE,09/04/2014,09/04/2014 -,[FORMATION],,
DAIICHI SANKYO FRANCE SAS,Médecin,OUDRHIRI JAOUAD,17/01/2013,17/01/2013 -,AUTRE : [COLLABORATION SCIENTIFIQUE],,
DAIICHI SANKYO FRANCE SAS,Médecin,TAFFORET ISABELLE,24/10/2013,24/10/2013 - 24/10/2013,Autre : [ hospitalité ],,
KRKA FRANCE EURL,Autres types de personne morale,PHARMACIE RENAULT ,01/02/2014,01/02/2014 -,AUTRE: [CONTRAT CADRE DE LOUAGE DE CHOSES ET D'OUVRAGE A DES FINS PUBLICITAIRES],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,CHARRIER FRANCOISE,06/03/2014,06/03/2014 - 06/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUMEAUX DOMINIQUE,06/03/2014,06/03/2014 - 06/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,DUMEAUX DOMINIQUE,05/12/2013,05/12/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,GRUCHET ALAIN,06/03/2014,06/03/2014 - 06/03/2014,Autre : [Convention d'Hospitalité],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,PERLOT THIERRY,29/10/2013,29/10/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
