ASTRAZENECA,Médecin,SPIROUX ISABELLE,29/04/2014,29/04/2014 -,Formation,,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BEAUMATIN CHARLES,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
LABORATOIRE GLAXOSMITHKLINE,Médecin,BELLO PIERRE ANDRE,26/11/2013,26/11/2013 -,AUTRE : [CONVENTION HOSPITALITE],,
Laboratoires Expanscience,Médecin,BELLO PIERRE ANDRE,20/05/2014,20/05/2014 - 20/05/2014,Formation,,
SANOFI AVENTIS FRANCE,Médecin,BELLO PIERRE ANDRE,22/10/2013,22/10/2013 - 22/10/2013,Convention d'Hospitalité,,
SANOFI AVENTIS FRANCE,Médecin,BELLO PIERRE ANDRE,28/01/2014,28/01/2014 - 28/01/2014,Autre : [Réunion],,
SANOFI AVENTIS FRANCE,Médecin,BELLO PIERRE ANDRE,25/03/2014,25/03/2014 - 25/03/2014,Autre : [Réunion],,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOULARD / SNC,05/12/2013,01/01/2014 - 31/03/2014,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOULARD / SNC,01/10/2013,01/10/2013 - 31/12/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOULARD / SNC,01/07/2013,01/07/2013 - 30/09/2013,AUTRE : ACHAT D'ESPACE,,
TEVA SANTE SAS,Autres types de personne morale,PHIE SOULARD / SNC,31/03/2014,01/04/2014 - 30/06/2014,AUTRE : ACHAT D'ESPACE,,
